dataset_id	analysis_id	file_id	file
EGAD00001002125	EGAZ00001223343	EGAF00001130288	4023faaf-c73d-4587-a888-1c700fda100b/92a65acef03597a1e00eff319bde3b44.bam
EGAD00001002125	EGAZ00001223343	EGAF00001130289	4023faaf-c73d-4587-a888-1c700fda100b/92a65acef03597a1e00eff319bde3b44.bam.bai
EGAD00001002125	EGAZ00001223343	EGAF00001130290	4023faaf-c73d-4587-a888-1c700fda100b/analysis.4023faaf-c73d-4587-a888-1c700fda100b.GNOS.xml.gz
EGAD00001002125	EGAZ00001223344	EGAF00001144048	4089c19a-ec98-4379-bd03-3433ad73e1cb/943d211159674c1f2973bba9840a7e02.bam
EGAD00001002125	EGAZ00001223344	EGAF00001144049	4089c19a-ec98-4379-bd03-3433ad73e1cb/943d211159674c1f2973bba9840a7e02.bam.bai
EGAD00001002125	EGAZ00001223344	EGAF00001144050	4089c19a-ec98-4379-bd03-3433ad73e1cb/analysis.4089c19a-ec98-4379-bd03-3433ad73e1cb.GNOS.xml.gz
EGAD00001002125	EGAZ00001223345	EGAF00001130291	4d0c84a4-af47-4d0c-9853-bb0a30537457/3d43086bf3f2f3b11bcf56734a311856.bam
EGAD00001002125	EGAZ00001223345	EGAF00001130292	4d0c84a4-af47-4d0c-9853-bb0a30537457/3d43086bf3f2f3b11bcf56734a311856.bam.bai
EGAD00001002125	EGAZ00001223345	EGAF00001130293	4d0c84a4-af47-4d0c-9853-bb0a30537457/analysis.4d0c84a4-af47-4d0c-9853-bb0a30537457.GNOS.xml.gz
EGAD00001002125	EGAZ00001223346	EGAF00001145735	4d1fcef5-9c33-4852-963e-00dc2393eaf2/3bff6fb6d22946b29f935e60def05e65.bam
EGAD00001002125	EGAZ00001223346	EGAF00001145736	4d1fcef5-9c33-4852-963e-00dc2393eaf2/3bff6fb6d22946b29f935e60def05e65.bam.bai
EGAD00001002125	EGAZ00001223346	EGAF00001145737	4d1fcef5-9c33-4852-963e-00dc2393eaf2/analysis.4d1fcef5-9c33-4852-963e-00dc2393eaf2.GNOS.xml.gz
EGAD00001002125	EGAZ00001223347	EGAF00001130294	4f843535-9a54-4837-8d62-70102227d2e5/5dda89740ba3a860861bdfaea3ed2cab.bam
EGAD00001002125	EGAZ00001223347	EGAF00001130295	4f843535-9a54-4837-8d62-70102227d2e5/5dda89740ba3a860861bdfaea3ed2cab.bam.bai
EGAD00001002125	EGAZ00001223347	EGAF00001130296	4f843535-9a54-4837-8d62-70102227d2e5/analysis.4f843535-9a54-4837-8d62-70102227d2e5.GNOS.xml.gz
EGAD00001002125	EGAZ00001223348	EGAF00001146079	5161b68b-e757-47df-80cf-79554430e5cb/459793d5b324900a2f9dd1ec079a368e.bam
EGAD00001002125	EGAZ00001223348	EGAF00001146080	5161b68b-e757-47df-80cf-79554430e5cb/459793d5b324900a2f9dd1ec079a368e.bam.bai
EGAD00001002125	EGAZ00001223348	EGAF00001146081	5161b68b-e757-47df-80cf-79554430e5cb/analysis.5161b68b-e757-47df-80cf-79554430e5cb.GNOS.xml.gz
EGAD00001002125	EGAZ00001223349	EGAF00001130297	555493e7-2612-4522-8023-8f9544b31557/1d826b27a356a722e26e97c0cf85ad29.bam
EGAD00001002125	EGAZ00001223349	EGAF00001130298	555493e7-2612-4522-8023-8f9544b31557/1d826b27a356a722e26e97c0cf85ad29.bam.bai
EGAD00001002125	EGAZ00001223349	EGAF00001130299	555493e7-2612-4522-8023-8f9544b31557/analysis.555493e7-2612-4522-8023-8f9544b31557.GNOS.xml.gz
EGAD00001002125	EGAZ00001223350	EGAF00001144424	55c7e0d4-0ac9-45a8-bbf7-85c6341820e9/d3cbbd1ed1ac03389e559b51f02927cc.bam
EGAD00001002125	EGAZ00001223350	EGAF00001144425	55c7e0d4-0ac9-45a8-bbf7-85c6341820e9/d3cbbd1ed1ac03389e559b51f02927cc.bam.bai
EGAD00001002125	EGAZ00001223350	EGAF00001144426	55c7e0d4-0ac9-45a8-bbf7-85c6341820e9/analysis.55c7e0d4-0ac9-45a8-bbf7-85c6341820e9.GNOS.xml.gz
EGAD00001002125	EGAZ00001223351	EGAF00001130423	5664d3c2-d4fa-42b6-8641-ee4c0b2584b7/ce518d69a6bc56f262e7534b35ca6445.bam
EGAD00001002125	EGAZ00001223351	EGAF00001130424	5664d3c2-d4fa-42b6-8641-ee4c0b2584b7/ce518d69a6bc56f262e7534b35ca6445.bam.bai
EGAD00001002125	EGAZ00001223351	EGAF00001130425	5664d3c2-d4fa-42b6-8641-ee4c0b2584b7/analysis.5664d3c2-d4fa-42b6-8641-ee4c0b2584b7.GNOS.xml.gz
EGAD00001002125	EGAZ00001223352	EGAF00001146082	58e6aeb2-d67e-48ca-8df6-0785f5ecba3d/33ed53a4af5db311d8a6d595df8ce1f9.bam
EGAD00001002125	EGAZ00001223352	EGAF00001146083	58e6aeb2-d67e-48ca-8df6-0785f5ecba3d/33ed53a4af5db311d8a6d595df8ce1f9.bam.bai
EGAD00001002125	EGAZ00001223352	EGAF00001146084	58e6aeb2-d67e-48ca-8df6-0785f5ecba3d/analysis.58e6aeb2-d67e-48ca-8df6-0785f5ecba3d.GNOS.xml.gz
EGAD00001002125	EGAZ00001223353	EGAF00001130426	619b4b29-6595-40b5-b8df-929bf2fea2ec/32981effa9d331ff9d054d26e2e888d0.bam
EGAD00001002125	EGAZ00001223353	EGAF00001130427	619b4b29-6595-40b5-b8df-929bf2fea2ec/32981effa9d331ff9d054d26e2e888d0.bam.bai
EGAD00001002125	EGAZ00001223353	EGAF00001130428	619b4b29-6595-40b5-b8df-929bf2fea2ec/analysis.619b4b29-6595-40b5-b8df-929bf2fea2ec.GNOS.xml.gz
EGAD00001002125	EGAZ00001223354	EGAF00001155538	644b98b5-c699-4808-9a49-36da31ce8a5c/ef3344347e59a94378b7f67dd7d398dc.bam
EGAD00001002125	EGAZ00001223354	EGAF00001155539	644b98b5-c699-4808-9a49-36da31ce8a5c/ef3344347e59a94378b7f67dd7d398dc.bam.bai
EGAD00001002125	EGAZ00001223354	EGAF00001155540	644b98b5-c699-4808-9a49-36da31ce8a5c/analysis.644b98b5-c699-4808-9a49-36da31ce8a5c.GNOS.xml.gz
EGAD00001002125	EGAZ00001223355	EGAF00001130429	64f4e1ca-9724-460e-89e1-7238900ab01c/c15e37a7f556c4c3bbf262d0255d27d7.bam
EGAD00001002125	EGAZ00001223355	EGAF00001130430	64f4e1ca-9724-460e-89e1-7238900ab01c/c15e37a7f556c4c3bbf262d0255d27d7.bam.bai
EGAD00001002125	EGAZ00001223355	EGAF00001130431	64f4e1ca-9724-460e-89e1-7238900ab01c/analysis.64f4e1ca-9724-460e-89e1-7238900ab01c.GNOS.xml.gz
EGAD00001002125	EGAZ00001223356	EGAF00001144427	6691369c-7595-4b41-8fc7-22c8e199fb31/5b21f1f2603e762a16d25d559d74d0de.bam
EGAD00001002125	EGAZ00001223356	EGAF00001144428	6691369c-7595-4b41-8fc7-22c8e199fb31/5b21f1f2603e762a16d25d559d74d0de.bam.bai
EGAD00001002125	EGAZ00001223356	EGAF00001144429	6691369c-7595-4b41-8fc7-22c8e199fb31/analysis.6691369c-7595-4b41-8fc7-22c8e199fb31.GNOS.xml.gz
EGAD00001002125	EGAZ00001223357	EGAF00001130432	6746a54b-ae2e-49e4-84b7-02da86b3ec4a/d71e49c6637a497f14f36938e772a1b0.bam
EGAD00001002125	EGAZ00001223357	EGAF00001130433	6746a54b-ae2e-49e4-84b7-02da86b3ec4a/d71e49c6637a497f14f36938e772a1b0.bam.bai
EGAD00001002125	EGAZ00001223357	EGAF00001130434	6746a54b-ae2e-49e4-84b7-02da86b3ec4a/analysis.6746a54b-ae2e-49e4-84b7-02da86b3ec4a.GNOS.xml.gz
EGAD00001002125	EGAZ00001223358	EGAF00001146085	6822bbf9-827d-4dc7-a37e-636836152edb/737c12717376b6251b3b6664d8e6df2d.bam
EGAD00001002125	EGAZ00001223358	EGAF00001146086	6822bbf9-827d-4dc7-a37e-636836152edb/737c12717376b6251b3b6664d8e6df2d.bam.bai
EGAD00001002125	EGAZ00001223358	EGAF00001146087	6822bbf9-827d-4dc7-a37e-636836152edb/analysis.6822bbf9-827d-4dc7-a37e-636836152edb.GNOS.xml.gz
EGAD00001002125	EGAZ00001223359	EGAF00001130435	6c732673-375b-4ab5-a1f7-a8b009ce1ade/8bd227324581c8abb36f2a83cb991146.bam
EGAD00001002125	EGAZ00001223359	EGAF00001130436	6c732673-375b-4ab5-a1f7-a8b009ce1ade/8bd227324581c8abb36f2a83cb991146.bam.bai
EGAD00001002125	EGAZ00001223359	EGAF00001130437	6c732673-375b-4ab5-a1f7-a8b009ce1ade/analysis.6c732673-375b-4ab5-a1f7-a8b009ce1ade.GNOS.xml.gz
EGAD00001002125	EGAZ00001223360	EGAF00001146088	6d67c7a6-423f-4ce6-a9a6-1149cd1f7667/247838a10a1c7321ceff74883737507a.bam
EGAD00001002125	EGAZ00001223360	EGAF00001146089	6d67c7a6-423f-4ce6-a9a6-1149cd1f7667/247838a10a1c7321ceff74883737507a.bam.bai
EGAD00001002125	EGAZ00001223360	EGAF00001146090	6d67c7a6-423f-4ce6-a9a6-1149cd1f7667/analysis.6d67c7a6-423f-4ce6-a9a6-1149cd1f7667.GNOS.xml.gz
EGAD00001002125	EGAZ00001223361	EGAF00001130438	71383775-7b5e-41ba-8088-35cf6776b1aa/edbec27d86e3c619ca715ad6674ddb5c.bam
EGAD00001002125	EGAZ00001223361	EGAF00001130439	71383775-7b5e-41ba-8088-35cf6776b1aa/edbec27d86e3c619ca715ad6674ddb5c.bam.bai
EGAD00001002125	EGAZ00001223361	EGAF00001130440	71383775-7b5e-41ba-8088-35cf6776b1aa/analysis.71383775-7b5e-41ba-8088-35cf6776b1aa.GNOS.xml.gz
EGAD00001002125	EGAZ00001223362	EGAF00001155541	7c7bbff3-b454-4523-8fa4-e17d0fdcd481/12cb482b0ce20ad883c13ca3e26313b0.bam
EGAD00001002125	EGAZ00001223362	EGAF00001155542	7c7bbff3-b454-4523-8fa4-e17d0fdcd481/12cb482b0ce20ad883c13ca3e26313b0.bam.bai
EGAD00001002125	EGAZ00001223362	EGAF00001155543	7c7bbff3-b454-4523-8fa4-e17d0fdcd481/analysis.7c7bbff3-b454-4523-8fa4-e17d0fdcd481.GNOS.xml.gz
EGAD00001002125	EGAZ00001223363	EGAF00001130564	7d2a2c79-c5c8-4c88-8a37-eb328d444b05/92d0f260ad53a5ed645be623dc5cf2f5.bam
EGAD00001002125	EGAZ00001223363	EGAF00001130565	7d2a2c79-c5c8-4c88-8a37-eb328d444b05/92d0f260ad53a5ed645be623dc5cf2f5.bam.bai
EGAD00001002125	EGAZ00001223363	EGAF00001130566	7d2a2c79-c5c8-4c88-8a37-eb328d444b05/analysis.7d2a2c79-c5c8-4c88-8a37-eb328d444b05.GNOS.xml.gz
EGAD00001002125	EGAZ00001223364	EGAF00001146091	7f83458a-bf29-40e9-b1c8-6cc24c5abf42/94dced3c46499e0d5bed39088ef025ec.bam
EGAD00001002125	EGAZ00001223364	EGAF00001146092	7f83458a-bf29-40e9-b1c8-6cc24c5abf42/94dced3c46499e0d5bed39088ef025ec.bam.bai
EGAD00001002125	EGAZ00001223364	EGAF00001146093	7f83458a-bf29-40e9-b1c8-6cc24c5abf42/analysis.7f83458a-bf29-40e9-b1c8-6cc24c5abf42.GNOS.xml.gz
EGAD00001002125	EGAZ00001223365	EGAF00001130567	7ffbb347-f39a-4cc3-9268-19838fd4dc05/cbb366530e07ffe759133f09f874b9b2.bam
EGAD00001002125	EGAZ00001223365	EGAF00001130568	7ffbb347-f39a-4cc3-9268-19838fd4dc05/cbb366530e07ffe759133f09f874b9b2.bam.bai
EGAD00001002125	EGAZ00001223365	EGAF00001130569	7ffbb347-f39a-4cc3-9268-19838fd4dc05/analysis.7ffbb347-f39a-4cc3-9268-19838fd4dc05.GNOS.xml.gz
EGAD00001002125	EGAZ00001223366	EGAF00001145738	8388cc98-9843-4d03-8f57-222fbee892a4/5b9fdbbabb2e1856a80b571147e503c9.bam
EGAD00001002125	EGAZ00001223366	EGAF00001145739	8388cc98-9843-4d03-8f57-222fbee892a4/5b9fdbbabb2e1856a80b571147e503c9.bam.bai
EGAD00001002125	EGAZ00001223366	EGAF00001145740	8388cc98-9843-4d03-8f57-222fbee892a4/analysis.8388cc98-9843-4d03-8f57-222fbee892a4.GNOS.xml.gz
EGAD00001002125	EGAZ00001223367	EGAF00001130570	851e827c-7baa-4f4c-8723-e76d3e6acf55/0e5a3377f656e2c83c7cd65a664fbe1e.bam
EGAD00001002125	EGAZ00001223367	EGAF00001130571	851e827c-7baa-4f4c-8723-e76d3e6acf55/0e5a3377f656e2c83c7cd65a664fbe1e.bam.bai
EGAD00001002125	EGAZ00001223367	EGAF00001130572	851e827c-7baa-4f4c-8723-e76d3e6acf55/analysis.851e827c-7baa-4f4c-8723-e76d3e6acf55.GNOS.xml.gz
EGAD00001002125	EGAZ00001223368	EGAF00001144430	8d0ac9ca-726d-4718-9ac4-653245130ca5/368dbc1d6bafe7ff0fba385888821b89.bam
EGAD00001002125	EGAZ00001223368	EGAF00001144431	8d0ac9ca-726d-4718-9ac4-653245130ca5/368dbc1d6bafe7ff0fba385888821b89.bam.bai
EGAD00001002125	EGAZ00001223368	EGAF00001144432	8d0ac9ca-726d-4718-9ac4-653245130ca5/analysis.8d0ac9ca-726d-4718-9ac4-653245130ca5.GNOS.xml.gz
EGAD00001002125	EGAZ00001223369	EGAF00001130573	9144614c-6e81-4976-814d-b76ac005cc4c/902916bdf3467ba69b91a37fb2dd8653.bam
EGAD00001002125	EGAZ00001223369	EGAF00001130574	9144614c-6e81-4976-814d-b76ac005cc4c/902916bdf3467ba69b91a37fb2dd8653.bam.bai
EGAD00001002125	EGAZ00001223369	EGAF00001130575	9144614c-6e81-4976-814d-b76ac005cc4c/analysis.9144614c-6e81-4976-814d-b76ac005cc4c.GNOS.xml.gz
EGAD00001002125	EGAZ00001223371	EGAF00001130576	94293801-eca1-4c57-a5ab-e66aae700644/2636fd0eda99f4e7eb69d28317606ab9.bam
EGAD00001002125	EGAZ00001223371	EGAF00001130577	94293801-eca1-4c57-a5ab-e66aae700644/2636fd0eda99f4e7eb69d28317606ab9.bam.bai
EGAD00001002125	EGAZ00001223371	EGAF00001130578	94293801-eca1-4c57-a5ab-e66aae700644/analysis.94293801-eca1-4c57-a5ab-e66aae700644.GNOS.xml.gz
EGAD00001002125	EGAZ00001223372	EGAF00001155544	964ff278-3259-4daa-897f-3b0546b1bd5c/7cdcbaec9488b2447573750e1d1bad59.bam
EGAD00001002125	EGAZ00001223372	EGAF00001155545	964ff278-3259-4daa-897f-3b0546b1bd5c/7cdcbaec9488b2447573750e1d1bad59.bam.bai
EGAD00001002125	EGAZ00001223372	EGAF00001155546	964ff278-3259-4daa-897f-3b0546b1bd5c/analysis.964ff278-3259-4daa-897f-3b0546b1bd5c.GNOS.xml.gz
EGAD00001002125	EGAZ00001223373	EGAF00001130579	96b357a6-069f-4eca-ac92-f01279cc0e37/4d4764559b73b3ee5dd35a79b7bbdba7.bam
EGAD00001002125	EGAZ00001223373	EGAF00001130580	96b357a6-069f-4eca-ac92-f01279cc0e37/4d4764559b73b3ee5dd35a79b7bbdba7.bam.bai
EGAD00001002125	EGAZ00001223373	EGAF00001130581	96b357a6-069f-4eca-ac92-f01279cc0e37/analysis.96b357a6-069f-4eca-ac92-f01279cc0e37.GNOS.xml.gz
EGAD00001002125	EGAZ00001223374	EGAF00001155547	9a442aa9-3cf4-405a-a7dd-dba6a0d92704/718db53891f8efef65f825d8c8756fff.bam
EGAD00001002125	EGAZ00001223374	EGAF00001155548	9a442aa9-3cf4-405a-a7dd-dba6a0d92704/718db53891f8efef65f825d8c8756fff.bam.bai
EGAD00001002125	EGAZ00001223374	EGAF00001155549	9a442aa9-3cf4-405a-a7dd-dba6a0d92704/analysis.9a442aa9-3cf4-405a-a7dd-dba6a0d92704.GNOS.xml.gz
EGAD00001002125	EGAZ00001223375	EGAF00001130705	9a59c6ee-7e01-46f5-b054-7b2afc6e4f34/7310c8bc561e2655033297a71ff14a8b.bam
EGAD00001002125	EGAZ00001223375	EGAF00001130706	9a59c6ee-7e01-46f5-b054-7b2afc6e4f34/7310c8bc561e2655033297a71ff14a8b.bam.bai
EGAD00001002125	EGAZ00001223375	EGAF00001130707	9a59c6ee-7e01-46f5-b054-7b2afc6e4f34/analysis.9a59c6ee-7e01-46f5-b054-7b2afc6e4f34.GNOS.xml.gz
EGAD00001002125	EGAZ00001223376	EGAF00001145744	9b140ebc-d555-4211-9393-a4b4faacfca7/9f9361039a8e981aedfe4c73fabcc361.bam
EGAD00001002125	EGAZ00001223376	EGAF00001145745	9b140ebc-d555-4211-9393-a4b4faacfca7/9f9361039a8e981aedfe4c73fabcc361.bam.bai
EGAD00001002125	EGAZ00001223376	EGAF00001145746	9b140ebc-d555-4211-9393-a4b4faacfca7/analysis.9b140ebc-d555-4211-9393-a4b4faacfca7.GNOS.xml.gz
EGAD00001002125	EGAZ00001223377	EGAF00001130708	9e7fe4e2-09cb-486e-a81e-9a6f7ece2257/0492040c731fd42381efe0d8cc3d2e6e.bam
EGAD00001002125	EGAZ00001223377	EGAF00001130709	9e7fe4e2-09cb-486e-a81e-9a6f7ece2257/0492040c731fd42381efe0d8cc3d2e6e.bam.bai
EGAD00001002125	EGAZ00001223377	EGAF00001130710	9e7fe4e2-09cb-486e-a81e-9a6f7ece2257/analysis.9e7fe4e2-09cb-486e-a81e-9a6f7ece2257.GNOS.xml.gz
