dataset_id	analysis_id	file_id	file
EGAD00001002129	EGAZ00001225506	EGAF00001160594	b6a37fb7-bb3b-4c8c-94d1-53a0bcdbf20c/10f92bc54f041e45e71c9894e8830cfe.bam
EGAD00001002129	EGAZ00001225506	EGAF00001160595	b6a37fb7-bb3b-4c8c-94d1-53a0bcdbf20c/10f92bc54f041e45e71c9894e8830cfe.bam.bai
EGAD00001002129	EGAZ00001225506	EGAF00001160596	b6a37fb7-bb3b-4c8c-94d1-53a0bcdbf20c/analysis.b6a37fb7-bb3b-4c8c-94d1-53a0bcdbf20c.GNOS.xml.gz
EGAD00001002129	EGAZ00001225507	EGAF00001160597	e59a8d97-330c-44ba-9e49-f266ca441b18/deb3f305973e40fe22e7bb0c0b279957.bam
EGAD00001002129	EGAZ00001225507	EGAF00001160598	e59a8d97-330c-44ba-9e49-f266ca441b18/deb3f305973e40fe22e7bb0c0b279957.bam.bai
EGAD00001002129	EGAZ00001225507	EGAF00001160599	e59a8d97-330c-44ba-9e49-f266ca441b18/analysis.e59a8d97-330c-44ba-9e49-f266ca441b18.GNOS.xml.gz
EGAD00001002129	EGAZ00001225508	EGAF00001160600	f68a029a-b83d-4cfd-ae91-7e54c12ff104/ae9230e446c61e1b6ae388e81cd2fcad.bam
EGAD00001002129	EGAZ00001225508	EGAF00001160601	f68a029a-b83d-4cfd-ae91-7e54c12ff104/ae9230e446c61e1b6ae388e81cd2fcad.bam.bai
EGAD00001002129	EGAZ00001225508	EGAF00001160602	f68a029a-b83d-4cfd-ae91-7e54c12ff104/analysis.f68a029a-b83d-4cfd-ae91-7e54c12ff104.GNOS.xml.gz
EGAD00001002129	EGAZ00001225509	EGAF00001160603	dd4b3b0e-c099-4bd6-8703-698e9ae75de6/159d08ad6aa64c9932a397702791dea0.bam
EGAD00001002129	EGAZ00001225509	EGAF00001160604	dd4b3b0e-c099-4bd6-8703-698e9ae75de6/159d08ad6aa64c9932a397702791dea0.bam.bai
EGAD00001002129	EGAZ00001225509	EGAF00001160605	dd4b3b0e-c099-4bd6-8703-698e9ae75de6/analysis.dd4b3b0e-c099-4bd6-8703-698e9ae75de6.GNOS.xml.gz
EGAD00001002129	EGAZ00001225510	EGAF00001160606	681167bc-6605-4382-b902-5a2777ab7f11/4bc3e7a22136229927820e7cddd6d032.bam
EGAD00001002129	EGAZ00001225510	EGAF00001160607	681167bc-6605-4382-b902-5a2777ab7f11/4bc3e7a22136229927820e7cddd6d032.bam.bai
