dataset_id	analysis_id	file_id	file
EGAD00001002121	EGAZ00001222776	EGAF00001074802	5f6a6aeb-1578-4b7e-bc79-8241f612b8b8/aff87d81ad845907d46f5b7126c09cc9.bam
EGAD00001002121	EGAZ00001222776	EGAF00001074803	5f6a6aeb-1578-4b7e-bc79-8241f612b8b8/aff87d81ad845907d46f5b7126c09cc9.bam.bai
EGAD00001002121	EGAZ00001222776	EGAF00001074804	5f6a6aeb-1578-4b7e-bc79-8241f612b8b8/analysis.5f6a6aeb-1578-4b7e-bc79-8241f612b8b8.GNOS.xml.gz
EGAD00001002121	EGAZ00001222777	EGAF00001074790	6082c501-11c6-4078-90a8-9b0c69feba24/45960bcbf9c4b164bbcb007b780ae426.bam
EGAD00001002121	EGAZ00001222777	EGAF00001074791	6082c501-11c6-4078-90a8-9b0c69feba24/45960bcbf9c4b164bbcb007b780ae426.bam.bai
EGAD00001002121	EGAZ00001222777	EGAF00001074792	6082c501-11c6-4078-90a8-9b0c69feba24/analysis.6082c501-11c6-4078-90a8-9b0c69feba24.GNOS.xml.gz
EGAD00001002121	EGAZ00001222778	EGAF00001074805	77fc5205-606d-45c1-8ea2-9bf36b1596fd/45ee17dec214135d0dcfd2aafc75534e.bam
EGAD00001002121	EGAZ00001222778	EGAF00001074806	77fc5205-606d-45c1-8ea2-9bf36b1596fd/45ee17dec214135d0dcfd2aafc75534e.bam.bai
EGAD00001002121	EGAZ00001222778	EGAF00001074807	77fc5205-606d-45c1-8ea2-9bf36b1596fd/analysis.77fc5205-606d-45c1-8ea2-9bf36b1596fd.GNOS.xml.gz
EGAD00001002121	EGAZ00001222779	EGAF00001074793	aa511ed0-88db-4232-b024-03a625e85c3e/eb62d67453bbc1e8cf861ca19bdf7f5a.bam
EGAD00001002121	EGAZ00001222779	EGAF00001074794	aa511ed0-88db-4232-b024-03a625e85c3e/eb62d67453bbc1e8cf861ca19bdf7f5a.bam.bai
EGAD00001002121	EGAZ00001222779	EGAF00001074795	aa511ed0-88db-4232-b024-03a625e85c3e/analysis.aa511ed0-88db-4232-b024-03a625e85c3e.GNOS.xml.gz
EGAD00001002121	EGAZ00001222780	EGAF00001074808	b27142c3-8765-451a-bb68-77ced083d7bb/73c4a73954614dda9be097dfb8305bd8.bam
EGAD00001002121	EGAZ00001222780	EGAF00001074809	b27142c3-8765-451a-bb68-77ced083d7bb/73c4a73954614dda9be097dfb8305bd8.bam.bai
EGAD00001002121	EGAZ00001222780	EGAF00001074810	b27142c3-8765-451a-bb68-77ced083d7bb/analysis.b27142c3-8765-451a-bb68-77ced083d7bb.GNOS.xml.gz
EGAD00001002121	EGAZ00001222781	EGAF00001074796	cfd56615-6170-4c5c-973a-e91881328753/8c89db3631ba6755522be50a5b8e5340.bam
EGAD00001002121	EGAZ00001222781	EGAF00001074797	cfd56615-6170-4c5c-973a-e91881328753/8c89db3631ba6755522be50a5b8e5340.bam.bai
EGAD00001002121	EGAZ00001222781	EGAF00001074798	cfd56615-6170-4c5c-973a-e91881328753/analysis.cfd56615-6170-4c5c-973a-e91881328753.GNOS.xml.gz
EGAD00001002121	EGAZ00001222782	EGAF00001074811	d080db6b-583b-46fe-9e2b-b70069ebe960/a51ad19bf9dcf4819371740c732bcba0.bam
EGAD00001002121	EGAZ00001222782	EGAF00001074812	d080db6b-583b-46fe-9e2b-b70069ebe960/a51ad19bf9dcf4819371740c732bcba0.bam.bai
EGAD00001002121	EGAZ00001222782	EGAF00001074813	d080db6b-583b-46fe-9e2b-b70069ebe960/analysis.d080db6b-583b-46fe-9e2b-b70069ebe960.GNOS.xml.gz
EGAD00001002121	EGAZ00001222783	EGAF00001074799	dd034345-36f9-4660-b647-a8a25f2d485b/a0558c590b729c1c04f9aa6e75b09eae.bam
EGAD00001002121	EGAZ00001222783	EGAF00001074800	dd034345-36f9-4660-b647-a8a25f2d485b/a0558c590b729c1c04f9aa6e75b09eae.bam.bai
