dataset_id	analysis_id	file_id	file
EGAD00001003549	EGAZ00001312375	EGAF00001719758	071f1b0f-9bf3-453f-89aa-4f9abcc8f7f2/analysis.071f1b0f-9bf3-453f-89aa-4f9abcc8f7f2.GNOS.xml.gz
EGAD00001003549	EGAZ00001312375	EGAF00001719757	071f1b0f-9bf3-453f-89aa-4f9abcc8f7f2/PCAWG.d0e5bdc0-f887-11e4-a9de-4b74fb958afb.STAR.v1.bam.bai
EGAD00001003549	EGAZ00001312375	EGAF00001719756	071f1b0f-9bf3-453f-89aa-4f9abcc8f7f2/PCAWG.d0e5bdc0-f887-11e4-a9de-4b74fb958afb.STAR.v1.bam
EGAD00001003549	EGAZ00001312376	EGAF00001719759	0a366a9d-a1bd-4441-b260-1bf22a105756/PCAWG.f58676ca-f60b-11e4-8600-849dfb958afb.STAR.v1.bam
EGAD00001003549	EGAZ00001312376	EGAF00001719761	0a366a9d-a1bd-4441-b260-1bf22a105756/analysis.0a366a9d-a1bd-4441-b260-1bf22a105756.GNOS.xml.gz
EGAD00001003549	EGAZ00001312376	EGAF00001719760	0a366a9d-a1bd-4441-b260-1bf22a105756/PCAWG.f58676ca-f60b-11e4-8600-849dfb958afb.STAR.v1.bam.bai
EGAD00001003549	EGAZ00001312377	EGAF00001719764	0e7e9a03-5d4a-40cf-b1de-8c7b0fddce7c/analysis.0e7e9a03-5d4a-40cf-b1de-8c7b0fddce7c.GNOS.xml.gz
EGAD00001003549	EGAZ00001312377	EGAF00001719763	0e7e9a03-5d4a-40cf-b1de-8c7b0fddce7c/PCAWG.a5cf5506-d221-11e4-8475-47acfb958afb.STAR.v1.bam.bai
EGAD00001003549	EGAZ00001312377	EGAF00001719762	0e7e9a03-5d4a-40cf-b1de-8c7b0fddce7c/PCAWG.a5cf5506-d221-11e4-8475-47acfb958afb.STAR.v1.bam
EGAD00001003549	EGAZ00001312378	EGAF00001719766	1173e48d-abed-4f3b-9794-7ffcfa4da214/PCAWG.7be2d6a8-f889-11e4-ba8a-987afb958afb.STAR.v1.bam.bai
EGAD00001003549	EGAZ00001312378	EGAF00001719765	1173e48d-abed-4f3b-9794-7ffcfa4da214/PCAWG.7be2d6a8-f889-11e4-ba8a-987afb958afb.STAR.v1.bam
EGAD00001003549	EGAZ00001312378	EGAF00001719767	1173e48d-abed-4f3b-9794-7ffcfa4da214/analysis.1173e48d-abed-4f3b-9794-7ffcfa4da214.GNOS.xml.gz
EGAD00001003549	EGAZ00001312379	EGAF00001719768	1556bad6-e88f-49e9-9071-aaed36a9161a/PCAWG.8255895e-f893-11e4-98ba-22a3fb958afb.STAR.v1.bam
EGAD00001003549	EGAZ00001312379	EGAF00001719769	1556bad6-e88f-49e9-9071-aaed36a9161a/PCAWG.8255895e-f893-11e4-98ba-22a3fb958afb.STAR.v1.bam.bai
EGAD00001003549	EGAZ00001312379	EGAF00001719770	1556bad6-e88f-49e9-9071-aaed36a9161a/analysis.1556bad6-e88f-49e9-9071-aaed36a9161a.GNOS.xml.gz
EGAD00001003549	EGAZ00001312380	EGAF00001719773	15a353e3-4733-43d5-be6e-5ded93d481f0/analysis.15a353e3-4733-43d5-be6e-5ded93d481f0.GNOS.xml.gz
