dataset_id	analysis_id	file_id	file
EGAD00001003548	EGAZ00001312449	EGAF00001719980	01c75f48-e8bf-4b04-95c8-3296bf3fd917/analysis.01c75f48-e8bf-4b04-95c8-3296bf3fd917.GNOS.xml.gz
EGAD00001003548	EGAZ00001312449	EGAF00001719978	01c75f48-e8bf-4b04-95c8-3296bf3fd917/PCAWG.ebb56084-f7eb-11e4-b667-88c0fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312449	EGAF00001719979	01c75f48-e8bf-4b04-95c8-3296bf3fd917/PCAWG.ebb56084-f7eb-11e4-b667-88c0fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312450	EGAF00001719981	02b981e3-4c91-4a33-b77e-a82dacad2553/PCAWG.e3209066-f86c-11e4-99c0-4473fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312450	EGAF00001719983	02b981e3-4c91-4a33-b77e-a82dacad2553/analysis.02b981e3-4c91-4a33-b77e-a82dacad2553.GNOS.xml.gz
EGAD00001003548	EGAZ00001312450	EGAF00001719982	02b981e3-4c91-4a33-b77e-a82dacad2553/PCAWG.e3209066-f86c-11e4-99c0-4473fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312451	EGAF00001719984	03e49c32-b05c-4c93-a9db-8982e1dcae15/PCAWG.a6c6d888-d22d-11e4-84e1-738efb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312451	EGAF00001719986	03e49c32-b05c-4c93-a9db-8982e1dcae15/analysis.03e49c32-b05c-4c93-a9db-8982e1dcae15.GNOS.xml.gz
EGAD00001003548	EGAZ00001312451	EGAF00001719985	03e49c32-b05c-4c93-a9db-8982e1dcae15/PCAWG.a6c6d888-d22d-11e4-84e1-738efb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312452	EGAF00001719989	045e7ef5-576d-433e-a071-ca0cdc12d128/analysis.045e7ef5-576d-433e-a071-ca0cdc12d128.GNOS.xml.gz
EGAD00001003548	EGAZ00001312452	EGAF00001719987	045e7ef5-576d-433e-a071-ca0cdc12d128/PCAWG.73c9b83e-d236-11e4-99fe-82a6fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312452	EGAF00001719988	045e7ef5-576d-433e-a071-ca0cdc12d128/PCAWG.73c9b83e-d236-11e4-99fe-82a6fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312453	EGAF00001719990	0ac4aea5-90a8-4a39-b6ca-e9230886ed94/PCAWG.126ef0b6-d21f-11e4-aac5-00a5fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312453	EGAF00001719992	0ac4aea5-90a8-4a39-b6ca-e9230886ed94/analysis.0ac4aea5-90a8-4a39-b6ca-e9230886ed94.GNOS.xml.gz
EGAD00001003548	EGAZ00001312453	EGAF00001719991	0ac4aea5-90a8-4a39-b6ca-e9230886ed94/PCAWG.126ef0b6-d21f-11e4-aac5-00a5fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312454	EGAF00001719993	0db6e67e-ca48-4a6c-b74e-4c61285abdba/PCAWG.de2bfd3a-f609-11e4-8db2-ba96fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312454	EGAF00001719994	0db6e67e-ca48-4a6c-b74e-4c61285abdba/PCAWG.de2bfd3a-f609-11e4-8db2-ba96fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312454	EGAF00001719995	0db6e67e-ca48-4a6c-b74e-4c61285abdba/analysis.0db6e67e-ca48-4a6c-b74e-4c61285abdba.GNOS.xml.gz
EGAD00001003548	EGAZ00001312455	EGAF00001719998	104de0fb-f587-4d61-897d-b6a4e99cf29d/analysis.104de0fb-f587-4d61-897d-b6a4e99cf29d.GNOS.xml.gz
EGAD00001003548	EGAZ00001312455	EGAF00001719996	104de0fb-f587-4d61-897d-b6a4e99cf29d/PCAWG.b6a428c2-f867-11e4-bbb2-c84cfb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312455	EGAF00001719997	104de0fb-f587-4d61-897d-b6a4e99cf29d/PCAWG.b6a428c2-f867-11e4-bbb2-c84cfb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312456	EGAF00001719999	10ab6d4a-357e-4afc-bfff-63ee6cc9c8d7/PCAWG.f58676ca-f60b-11e4-8600-849dfb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312456	EGAF00001720000	10ab6d4a-357e-4afc-bfff-63ee6cc9c8d7/PCAWG.f58676ca-f60b-11e4-8600-849dfb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312456	EGAF00001720001	10ab6d4a-357e-4afc-bfff-63ee6cc9c8d7/analysis.10ab6d4a-357e-4afc-bfff-63ee6cc9c8d7.GNOS.xml.gz
EGAD00001003548	EGAZ00001312457	EGAF00001720004	17c9ac06-41b5-461a-a597-c77ad55aae7b/analysis.17c9ac06-41b5-461a-a597-c77ad55aae7b.GNOS.xml.gz
EGAD00001003548	EGAZ00001312457	EGAF00001720002	17c9ac06-41b5-461a-a597-c77ad55aae7b/PCAWG.266adbd0-d219-11e4-9fa1-3291fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312457	EGAF00001720003	17c9ac06-41b5-461a-a597-c77ad55aae7b/PCAWG.266adbd0-d219-11e4-9fa1-3291fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312458	EGAF00001720006	18d502c2-28da-403c-aa9d-580e22044669/PCAWG.de8e0f1e-f886-11e4-93ef-a770fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312458	EGAF00001720005	18d502c2-28da-403c-aa9d-580e22044669/PCAWG.de8e0f1e-f886-11e4-93ef-a770fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312458	EGAF00001720007	18d502c2-28da-403c-aa9d-580e22044669/analysis.18d502c2-28da-403c-aa9d-580e22044669.GNOS.xml.gz
EGAD00001003548	EGAZ00001312459	EGAF00001720010	1bbd05cc-6514-4bf7-84a1-cd82f153d06b/analysis.1bbd05cc-6514-4bf7-84a1-cd82f153d06b.GNOS.xml.gz
EGAD00001003548	EGAZ00001312459	EGAF00001720008	1bbd05cc-6514-4bf7-84a1-cd82f153d06b/PCAWG.709a03bc-d222-11e4-945c-b0b7fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312459	EGAF00001720009	1bbd05cc-6514-4bf7-84a1-cd82f153d06b/PCAWG.709a03bc-d222-11e4-945c-b0b7fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312460	EGAF00001720013	1c1681db-4aa5-4bc8-b36e-b0bd98bb0c2a/analysis.1c1681db-4aa5-4bc8-b36e-b0bd98bb0c2a.GNOS.xml.gz
EGAD00001003548	EGAZ00001312460	EGAF00001720011	1c1681db-4aa5-4bc8-b36e-b0bd98bb0c2a/PCAWG.bb6ac238-d230-11e4-b140-6c97fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312460	EGAF00001720012	1c1681db-4aa5-4bc8-b36e-b0bd98bb0c2a/PCAWG.bb6ac238-d230-11e4-b140-6c97fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312461	EGAF00001720016	1d60d0a2-7944-44ab-882b-8d47db73f915/analysis.1d60d0a2-7944-44ab-882b-8d47db73f915.GNOS.xml.gz
EGAD00001003548	EGAZ00001312461	EGAF00001720014	1d60d0a2-7944-44ab-882b-8d47db73f915/PCAWG.85cb2484-f88b-11e4-bec1-8787fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312461	EGAF00001720015	1d60d0a2-7944-44ab-882b-8d47db73f915/PCAWG.85cb2484-f88b-11e4-bec1-8787fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312462	EGAF00001720018	1da81da2-dc35-45ff-bd02-fbb0f173a14a/PCAWG.6c4e45ae-f86d-11e4-97ca-a376fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312462	EGAF00001720017	1da81da2-dc35-45ff-bd02-fbb0f173a14a/PCAWG.6c4e45ae-f86d-11e4-97ca-a376fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312462	EGAF00001720019	1da81da2-dc35-45ff-bd02-fbb0f173a14a/analysis.1da81da2-dc35-45ff-bd02-fbb0f173a14a.GNOS.xml.gz
EGAD00001003548	EGAZ00001312463	EGAF00001720021	1fbc2524-a50d-4276-b2c6-8f30faef22e3/PCAWG.6b12c068-d21e-11e4-88e7-a5a3fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312463	EGAF00001720022	1fbc2524-a50d-4276-b2c6-8f30faef22e3/analysis.1fbc2524-a50d-4276-b2c6-8f30faef22e3.GNOS.xml.gz
EGAD00001003548	EGAZ00001312463	EGAF00001720020	1fbc2524-a50d-4276-b2c6-8f30faef22e3/PCAWG.6b12c068-d21e-11e4-88e7-a5a3fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312464	EGAF00001720024	2248a389-5c71-4f91-a76e-9b28813f326f/PCAWG.787decca-f86e-11e4-8be4-037efb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312464	EGAF00001720025	2248a389-5c71-4f91-a76e-9b28813f326f/analysis.2248a389-5c71-4f91-a76e-9b28813f326f.GNOS.xml.gz
EGAD00001003548	EGAZ00001312464	EGAF00001720023	2248a389-5c71-4f91-a76e-9b28813f326f/PCAWG.787decca-f86e-11e4-8be4-037efb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312465	EGAF00001720027	26089269-3f77-4c39-b63f-50bbd0000d2b/PCAWG.ad98d0aa-f8a5-11e4-81fd-3265fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312465	EGAF00001720026	26089269-3f77-4c39-b63f-50bbd0000d2b/PCAWG.ad98d0aa-f8a5-11e4-81fd-3265fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312465	EGAF00001720028	26089269-3f77-4c39-b63f-50bbd0000d2b/analysis.26089269-3f77-4c39-b63f-50bbd0000d2b.GNOS.xml.gz
EGAD00001003548	EGAZ00001312466	EGAF00001720030	261555fd-77fd-4ef0-af7d-fe99ec3578ca/PCAWG.ba93a1dc-d234-11e4-abd3-8fa2fb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312466	EGAF00001720031	261555fd-77fd-4ef0-af7d-fe99ec3578ca/analysis.261555fd-77fd-4ef0-af7d-fe99ec3578ca.GNOS.xml.gz
EGAD00001003548	EGAZ00001312466	EGAF00001720029	261555fd-77fd-4ef0-af7d-fe99ec3578ca/PCAWG.ba93a1dc-d234-11e4-abd3-8fa2fb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312467	EGAF00001720034	27ffabb6-ba9d-4203-b0ce-232a8551389f/analysis.27ffabb6-ba9d-4203-b0ce-232a8551389f.GNOS.xml.gz
EGAD00001003548	EGAZ00001312467	EGAF00001720033	27ffabb6-ba9d-4203-b0ce-232a8551389f/PCAWG.9bd34f64-f7ea-11e4-a6d5-43bdfb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312467	EGAF00001720032	27ffabb6-ba9d-4203-b0ce-232a8551389f/PCAWG.9bd34f64-f7ea-11e4-a6d5-43bdfb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312468	EGAF00001720036	291a4d86-dd47-4379-bd91-b31d0c16d8bd/PCAWG.fa147ede-d21c-11e4-8cdc-859ffb958afb.TopHat2.v1.bam.bai
EGAD00001003548	EGAZ00001312468	EGAF00001720035	291a4d86-dd47-4379-bd91-b31d0c16d8bd/PCAWG.fa147ede-d21c-11e4-8cdc-859ffb958afb.TopHat2.v1.bam
EGAD00001003548	EGAZ00001312468	EGAF00001720037	291a4d86-dd47-4379-bd91-b31d0c16d8bd/analysis.291a4d86-dd47-4379-bd91-b31d0c16d8bd.GNOS.xml.gz
EGAD00001003548	EGAZ00001312469	EGAF00001720038	32733d69-346f-43af-b884-20bd227a36f6/PCAWG.d1b1e8b0-d225-11e4-94ac-2c5afb958afb.TopHat2.v1.bam
