dataset_id	analysis_id	file_id	file
EGAD00001003547	EGAZ00001312115	EGAF00001718977	0041fda0-52ce-46b5-9085-b0d358a48414/PCAWG.63a26562-e1fb-11e4-9899-a52c75ff8f68.STAR.v1.bam.bai
EGAD00001003547	EGAZ00001312115	EGAF00001718976	0041fda0-52ce-46b5-9085-b0d358a48414/PCAWG.63a26562-e1fb-11e4-9899-a52c75ff8f68.STAR.v1.bam
EGAD00001003547	EGAZ00001312115	EGAF00001718978	0041fda0-52ce-46b5-9085-b0d358a48414/analysis.0041fda0-52ce-46b5-9085-b0d358a48414.GNOS.xml.gz
EGAD00001003547	EGAZ00001312116	EGAF00001719005	0071533e-e792-4a96-bb4f-49ba0f99e00a/analysis.0071533e-e792-4a96-bb4f-49ba0f99e00a.GNOS.xml.gz
EGAD00001003547	EGAZ00001312116	EGAF00001719003	0071533e-e792-4a96-bb4f-49ba0f99e00a/PCAWG.6b3a7754-e1f8-11e4-894c-e7baa5fb34d4.STAR.v1.bam
EGAD00001003547	EGAZ00001312116	EGAF00001719004	0071533e-e792-4a96-bb4f-49ba0f99e00a/PCAWG.6b3a7754-e1f8-11e4-894c-e7baa5fb34d4.STAR.v1.bam.bai
EGAD00001003547	EGAZ00001312117	EGAF00001718979	00e1ef2f-82eb-4deb-a57b-8a2e7247f4be/PCAWG.92142364-e1f5-11e4-9e4b-f7c9c579ed44.STAR.v1.bam
EGAD00001003547	EGAZ00001312117	EGAF00001718980	00e1ef2f-82eb-4deb-a57b-8a2e7247f4be/PCAWG.92142364-e1f5-11e4-9e4b-f7c9c579ed44.STAR.v1.bam.bai
EGAD00001003547	EGAZ00001312117	EGAF00001718981	00e1ef2f-82eb-4deb-a57b-8a2e7247f4be/analysis.00e1ef2f-82eb-4deb-a57b-8a2e7247f4be.GNOS.xml.gz
EGAD00001003547	EGAZ00001312118	EGAF00001719006	02cf837c-8096-4125-b4da-a28e88efb69e/PCAWG.88003006-e200-11e4-af7b-62234fb570f9.STAR.v1.bam
EGAD00001003547	EGAZ00001312118	EGAF00001719008	02cf837c-8096-4125-b4da-a28e88efb69e/analysis.02cf837c-8096-4125-b4da-a28e88efb69e.GNOS.xml.gz
EGAD00001003547	EGAZ00001312118	EGAF00001719007	02cf837c-8096-4125-b4da-a28e88efb69e/PCAWG.88003006-e200-11e4-af7b-62234fb570f9.STAR.v1.bam.bai
EGAD00001003547	EGAZ00001312119	EGAF00001718982	0a808c92-4a16-4963-8bef-679277b7db81/PCAWG.5925cbda-e1db-11e4-9d34-e4a8cdbd61e0.STAR.v1.bam
EGAD00001003547	EGAZ00001312119	EGAF00001718983	0a808c92-4a16-4963-8bef-679277b7db81/PCAWG.5925cbda-e1db-11e4-9d34-e4a8cdbd61e0.STAR.v1.bam.bai
EGAD00001003547	EGAZ00001312119	EGAF00001718984	0a808c92-4a16-4963-8bef-679277b7db81/analysis.0a808c92-4a16-4963-8bef-679277b7db81.GNOS.xml.gz
EGAD00001003547	EGAZ00001312120	EGAF00001719010	0b338f47-4266-4c8f-bbf8-2c73587d5d4c/PCAWG.25cf7772-e1e0-11e4-b288-937682ebcdd5.STAR.v1.bam.bai
EGAD00001003547	EGAZ00001312120	EGAF00001719009	0b338f47-4266-4c8f-bbf8-2c73587d5d4c/PCAWG.25cf7772-e1e0-11e4-b288-937682ebcdd5.STAR.v1.bam
EGAD00001003547	EGAZ00001312120	EGAF00001719011	0b338f47-4266-4c8f-bbf8-2c73587d5d4c/analysis.0b338f47-4266-4c8f-bbf8-2c73587d5d4c.GNOS.xml.gz
EGAD00001003547	EGAZ00001312121	EGAF00001718987	0d2a65eb-a1af-4d37-9153-8f7fddcd09e3/analysis.0d2a65eb-a1af-4d37-9153-8f7fddcd09e3.GNOS.xml.gz
EGAD00001003547	EGAZ00001312121	EGAF00001718986	0d2a65eb-a1af-4d37-9153-8f7fddcd09e3/PCAWG.7542468a-e1ff-11e4-a2fa-e71ea66539a8.STAR.v1.bam.bai
