dataset_id	analysis_id	file_id	file
EGAD00001003546	EGAZ00001312245	EGAF00001719366	01a277d0-6825-4589-ab2e-25749ea668d6/PCAWG.2dc767cc-e1fa-11e4-9449-d8ae9e91f09a.TopHat2.v1.bam
EGAD00001003546	EGAZ00001312245	EGAF00001719368	01a277d0-6825-4589-ab2e-25749ea668d6/analysis.01a277d0-6825-4589-ab2e-25749ea668d6.GNOS.xml.gz
EGAD00001003546	EGAZ00001312245	EGAF00001719367	01a277d0-6825-4589-ab2e-25749ea668d6/PCAWG.2dc767cc-e1fa-11e4-9449-d8ae9e91f09a.TopHat2.v1.bam.bai
EGAD00001003546	EGAZ00001312246	EGAF00001719370	028c1ada-5fd0-4dd9-a0fd-33f5a1b42fc2/PCAWG.c8434128-e1e0-11e4-983c-9e47f69e2eee.TopHat2.v1.bam.bai
EGAD00001003546	EGAZ00001312246	EGAF00001719369	028c1ada-5fd0-4dd9-a0fd-33f5a1b42fc2/PCAWG.c8434128-e1e0-11e4-983c-9e47f69e2eee.TopHat2.v1.bam
EGAD00001003546	EGAZ00001312246	EGAF00001719371	028c1ada-5fd0-4dd9-a0fd-33f5a1b42fc2/analysis.028c1ada-5fd0-4dd9-a0fd-33f5a1b42fc2.GNOS.xml.gz
EGAD00001003546	EGAZ00001312247	EGAF00001719374	030caf6b-5163-4d50-bb63-990e3240525f/analysis.030caf6b-5163-4d50-bb63-990e3240525f.GNOS.xml.gz
EGAD00001003546	EGAZ00001312247	EGAF00001719372	030caf6b-5163-4d50-bb63-990e3240525f/PCAWG.3f729ee4-e1fd-11e4-b471-b620e270cec9.TopHat2.v1.bam
EGAD00001003546	EGAZ00001312247	EGAF00001719373	030caf6b-5163-4d50-bb63-990e3240525f/PCAWG.3f729ee4-e1fd-11e4-b471-b620e270cec9.TopHat2.v1.bam.bai
EGAD00001003546	EGAZ00001312248	EGAF00001719376	062c6500-89ea-4f67-8384-c849510024df/PCAWG.b3b1cf46-e1f3-11e4-80eb-a0501b5396e4.TopHat2.v1.bam.bai
EGAD00001003546	EGAZ00001312248	EGAF00001719377	062c6500-89ea-4f67-8384-c849510024df/analysis.062c6500-89ea-4f67-8384-c849510024df.GNOS.xml.gz
EGAD00001003546	EGAZ00001312248	EGAF00001719375	062c6500-89ea-4f67-8384-c849510024df/PCAWG.b3b1cf46-e1f3-11e4-80eb-a0501b5396e4.TopHat2.v1.bam
EGAD00001003546	EGAZ00001312249	EGAF00001719379	0a7ad386-efec-43aa-a52c-16f7ed76c1b6/PCAWG.c7042168-e1e7-11e4-bcfd-837772d2bdba.TopHat2.v1.bam.bai
EGAD00001003546	EGAZ00001312249	EGAF00001719380	0a7ad386-efec-43aa-a52c-16f7ed76c1b6/analysis.0a7ad386-efec-43aa-a52c-16f7ed76c1b6.GNOS.xml.gz
EGAD00001003546	EGAZ00001312249	EGAF00001719378	0a7ad386-efec-43aa-a52c-16f7ed76c1b6/PCAWG.c7042168-e1e7-11e4-bcfd-837772d2bdba.TopHat2.v1.bam
EGAD00001003546	EGAZ00001312250	EGAF00001719382	0a8a26e5-3276-4fad-9a88-0eb62c7edbbf/PCAWG.ee00c91e-e1fc-11e4-a8fa-15059f91f09a.TopHat2.v1.bam.bai
EGAD00001003546	EGAZ00001312250	EGAF00001719383	0a8a26e5-3276-4fad-9a88-0eb62c7edbbf/analysis.0a8a26e5-3276-4fad-9a88-0eb62c7edbbf.GNOS.xml.gz
