dataset_id	analysis_id	file_id	file
EGAD00001002155	EGAZ00001229447	EGAF00001184114	dafc4e27-b513-43d9-bdc6-1c36d9f4990d/631b9975333570d974c869406889eea8.bam
EGAD00001002155	EGAZ00001229447	EGAF00001184115	dafc4e27-b513-43d9-bdc6-1c36d9f4990d/631b9975333570d974c869406889eea8.bam.bai
EGAD00001002155	EGAZ00001229447	EGAF00001184116	dafc4e27-b513-43d9-bdc6-1c36d9f4990d/analysis.dafc4e27-b513-43d9-bdc6-1c36d9f4990d.GNOS.xml.gz
EGAD00001002155	EGAZ00001229448	EGAF00001184078	86ea23b2-8ceb-4ff3-9f76-2b86d93dc0b5/fe2d3a95275124711d5f185d87e2b6d3.bam
EGAD00001002155	EGAZ00001229448	EGAF00001184079	86ea23b2-8ceb-4ff3-9f76-2b86d93dc0b5/fe2d3a95275124711d5f185d87e2b6d3.bam.bai
EGAD00001002155	EGAZ00001229448	EGAF00001184080	86ea23b2-8ceb-4ff3-9f76-2b86d93dc0b5/analysis.86ea23b2-8ceb-4ff3-9f76-2b86d93dc0b5.GNOS.xml.gz
EGAD00001002155	EGAZ00001229449	EGAF00001184117	154dc7cd-c93d-48cf-b518-4a264855f90a/16dcf973f7778f75675e228f0a9d85db.bam
EGAD00001002155	EGAZ00001229449	EGAF00001184118	154dc7cd-c93d-48cf-b518-4a264855f90a/16dcf973f7778f75675e228f0a9d85db.bam.bai
EGAD00001002155	EGAZ00001229449	EGAF00001184119	154dc7cd-c93d-48cf-b518-4a264855f90a/analysis.154dc7cd-c93d-48cf-b518-4a264855f90a.GNOS.xml.gz
EGAD00001002155	EGAZ00001229450	EGAF00001184081	22a85485-0be1-4553-9863-107709eda4a5/6e471cf23f8f6c89545f903cc2c5c539.bam
EGAD00001002155	EGAZ00001229450	EGAF00001184082	22a85485-0be1-4553-9863-107709eda4a5/6e471cf23f8f6c89545f903cc2c5c539.bam.bai
EGAD00001002155	EGAZ00001229450	EGAF00001184083	22a85485-0be1-4553-9863-107709eda4a5/analysis.22a85485-0be1-4553-9863-107709eda4a5.GNOS.xml.gz
EGAD00001002155	EGAZ00001229451	EGAF00001184120	d9d41048-a230-4841-9c9c-93daf9fff5aa/9db032a6367df44026c41fc5b45caace.bam
EGAD00001002155	EGAZ00001229451	EGAF00001184121	d9d41048-a230-4841-9c9c-93daf9fff5aa/9db032a6367df44026c41fc5b45caace.bam.bai
EGAD00001002155	EGAZ00001229451	EGAF00001184122	d9d41048-a230-4841-9c9c-93daf9fff5aa/analysis.d9d41048-a230-4841-9c9c-93daf9fff5aa.GNOS.xml.gz
EGAD00001002155	EGAZ00001229452	EGAF00001184084	8bdb4545-7d1e-426b-9d75-57d56643f473/9e8e7e322b154edbc1ccf49f3f636b5c.bam
EGAD00001002155	EGAZ00001229452	EGAF00001184085	8bdb4545-7d1e-426b-9d75-57d56643f473/9e8e7e322b154edbc1ccf49f3f636b5c.bam.bai
EGAD00001002155	EGAZ00001229452	EGAF00001184086	8bdb4545-7d1e-426b-9d75-57d56643f473/analysis.8bdb4545-7d1e-426b-9d75-57d56643f473.GNOS.xml.gz
EGAD00001002155	EGAZ00001229453	EGAF00001184123	f1d1c8f7-71ac-4cf1-80ae-87725e3bcf5f/e51a014424eafec8161982ecd988737a.bam
EGAD00001002155	EGAZ00001229453	EGAF00001184124	f1d1c8f7-71ac-4cf1-80ae-87725e3bcf5f/e51a014424eafec8161982ecd988737a.bam.bai
EGAD00001002155	EGAZ00001229453	EGAF00001184125	f1d1c8f7-71ac-4cf1-80ae-87725e3bcf5f/analysis.f1d1c8f7-71ac-4cf1-80ae-87725e3bcf5f.GNOS.xml.gz
EGAD00001002155	EGAZ00001229454	EGAF00001184087	3aac58a4-b468-4199-bc52-bdb79bc30f70/33f0509f52f1c8b0ea137dafd5fcdcbc.bam
EGAD00001002155	EGAZ00001229454	EGAF00001184088	3aac58a4-b468-4199-bc52-bdb79bc30f70/33f0509f52f1c8b0ea137dafd5fcdcbc.bam.bai
EGAD00001002155	EGAZ00001229454	EGAF00001184089	3aac58a4-b468-4199-bc52-bdb79bc30f70/analysis.3aac58a4-b468-4199-bc52-bdb79bc30f70.GNOS.xml.gz
EGAD00001002155	EGAZ00001229455	EGAF00001184126	03068af0-7356-47fd-ab36-8d11b0fae880/a5cbccc73e9d3e06951c7d095cbaf517.bam
EGAD00001002155	EGAZ00001229455	EGAF00001184127	03068af0-7356-47fd-ab36-8d11b0fae880/a5cbccc73e9d3e06951c7d095cbaf517.bam.bai
EGAD00001002155	EGAZ00001229455	EGAF00001184128	03068af0-7356-47fd-ab36-8d11b0fae880/analysis.03068af0-7356-47fd-ab36-8d11b0fae880.GNOS.xml.gz
EGAD00001002155	EGAZ00001229456	EGAF00001184090	18d11000-272b-4a70-ab73-959cfa36c47e/33e99f198218c1f9c3628ae5191fd42b.bam
EGAD00001002155	EGAZ00001229456	EGAF00001184091	18d11000-272b-4a70-ab73-959cfa36c47e/33e99f198218c1f9c3628ae5191fd42b.bam.bai
EGAD00001002155	EGAZ00001229456	EGAF00001184092	18d11000-272b-4a70-ab73-959cfa36c47e/analysis.18d11000-272b-4a70-ab73-959cfa36c47e.GNOS.xml.gz
EGAD00001002155	EGAZ00001229457	EGAF00001184129	24716465-ab5c-437a-bb79-07ee92505315/1a28b5d0088201a6d5038e3f0bd05012.bam
EGAD00001002155	EGAZ00001229457	EGAF00001184130	24716465-ab5c-437a-bb79-07ee92505315/1a28b5d0088201a6d5038e3f0bd05012.bam.bai
EGAD00001002155	EGAZ00001229457	EGAF00001184131	24716465-ab5c-437a-bb79-07ee92505315/analysis.24716465-ab5c-437a-bb79-07ee92505315.GNOS.xml.gz
EGAD00001002155	EGAZ00001229458	EGAF00001184093	c4c7310c-62c8-4a43-a3d0-1c8acfb39782/ccba4b34a6c1af52e5929940a75c7fd8.bam
EGAD00001002155	EGAZ00001229458	EGAF00001184094	c4c7310c-62c8-4a43-a3d0-1c8acfb39782/ccba4b34a6c1af52e5929940a75c7fd8.bam.bai
EGAD00001002155	EGAZ00001229458	EGAF00001184095	c4c7310c-62c8-4a43-a3d0-1c8acfb39782/analysis.c4c7310c-62c8-4a43-a3d0-1c8acfb39782.GNOS.xml.gz
EGAD00001002155	EGAZ00001229459	EGAF00001184132	c7807035-7577-46c2-8e84-a93b419faff9/17c18008ae82493f54e37342852753c4.bam
EGAD00001002155	EGAZ00001229459	EGAF00001184133	c7807035-7577-46c2-8e84-a93b419faff9/17c18008ae82493f54e37342852753c4.bam.bai
EGAD00001002155	EGAZ00001229459	EGAF00001184134	c7807035-7577-46c2-8e84-a93b419faff9/analysis.c7807035-7577-46c2-8e84-a93b419faff9.GNOS.xml.gz
EGAD00001002155	EGAZ00001229460	EGAF00001184096	d6c37eaa-0246-4467-8f6c-2a0a826e6bc2/fbab150594cf8a4afc059c8dc17935af.bam
EGAD00001002155	EGAZ00001229460	EGAF00001184097	d6c37eaa-0246-4467-8f6c-2a0a826e6bc2/fbab150594cf8a4afc059c8dc17935af.bam.bai
EGAD00001002155	EGAZ00001229460	EGAF00001184098	d6c37eaa-0246-4467-8f6c-2a0a826e6bc2/analysis.d6c37eaa-0246-4467-8f6c-2a0a826e6bc2.GNOS.xml.gz
