dataset_id	analysis_id	file_id	file
EGAD00001003560	EGAZ00001312776	EGAF00001722938	0077ccda-046d-43da-bccc-203cc2d6672a/PCAWG.cefaed3e-d4e0-11e4-a77b-a7fbdfb461e2.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312776	EGAF00001722937	0077ccda-046d-43da-bccc-203cc2d6672a/PCAWG.cefaed3e-d4e0-11e4-a77b-a7fbdfb461e2.STAR.v1.bam
EGAD00001003560	EGAZ00001312776	EGAF00001722939	0077ccda-046d-43da-bccc-203cc2d6672a/analysis.0077ccda-046d-43da-bccc-203cc2d6672a.GNOS.xml.gz
EGAD00001003560	EGAZ00001312778	EGAF00001722940	042aa775-a80c-4130-b245-3ff7aa570aa4/PCAWG.ff9be992-d4d2-11e4-b835-e1b9cc16db13.STAR.v1.bam
EGAD00001003560	EGAZ00001312778	EGAF00001722942	042aa775-a80c-4130-b245-3ff7aa570aa4/analysis.042aa775-a80c-4130-b245-3ff7aa570aa4.GNOS.xml.gz
EGAD00001003560	EGAZ00001312778	EGAF00001722941	042aa775-a80c-4130-b245-3ff7aa570aa4/PCAWG.ff9be992-d4d2-11e4-b835-e1b9cc16db13.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312780	EGAF00001722943	04b50b93-dcf7-4db1-a13c-f617c85984e1/PCAWG.b5a7f10e-d4ce-11e4-b0f3-998103221222.STAR.v1.bam
EGAD00001003560	EGAZ00001312780	EGAF00001722944	04b50b93-dcf7-4db1-a13c-f617c85984e1/PCAWG.b5a7f10e-d4ce-11e4-b0f3-998103221222.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312780	EGAF00001722945	04b50b93-dcf7-4db1-a13c-f617c85984e1/analysis.04b50b93-dcf7-4db1-a13c-f617c85984e1.GNOS.xml.gz
EGAD00001003560	EGAZ00001312782	EGAF00001722947	0608e56a-4acc-4224-a7a4-70d340098312/PCAWG.32d9855a-d495-11e4-bf16-ceef33a92ee6.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312782	EGAF00001722948	0608e56a-4acc-4224-a7a4-70d340098312/analysis.0608e56a-4acc-4224-a7a4-70d340098312.GNOS.xml.gz
EGAD00001003560	EGAZ00001312782	EGAF00001722946	0608e56a-4acc-4224-a7a4-70d340098312/PCAWG.32d9855a-d495-11e4-bf16-ceef33a92ee6.STAR.v1.bam
EGAD00001003560	EGAZ00001312784	EGAF00001722950	0871cbc9-eeaa-42c5-95c1-819f6f22c700/PCAWG.5b8f183c-d4c4-11e4-8c12-868cd462027c.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312784	EGAF00001722949	0871cbc9-eeaa-42c5-95c1-819f6f22c700/PCAWG.5b8f183c-d4c4-11e4-8c12-868cd462027c.STAR.v1.bam
EGAD00001003560	EGAZ00001312784	EGAF00001722951	0871cbc9-eeaa-42c5-95c1-819f6f22c700/analysis.0871cbc9-eeaa-42c5-95c1-819f6f22c700.GNOS.xml.gz
EGAD00001003560	EGAZ00001312786	EGAF00001722954	0fededde-d075-4527-9ed4-a3c64868a3e3/analysis.0fededde-d075-4527-9ed4-a3c64868a3e3.GNOS.xml.gz
EGAD00001003560	EGAZ00001312786	EGAF00001722953	0fededde-d075-4527-9ed4-a3c64868a3e3/PCAWG.70b7fd5c-d48b-11e4-8f01-a4957e9b6c76.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312786	EGAF00001722952	0fededde-d075-4527-9ed4-a3c64868a3e3/PCAWG.70b7fd5c-d48b-11e4-8f01-a4957e9b6c76.STAR.v1.bam
EGAD00001003560	EGAZ00001312787	EGAF00001722623	12116bf7-6705-47f2-b91d-48ab5db16291/PCAWG.37d0020a-d4d1-11e4-88e1-955970b4c781.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312787	EGAF00001722622	12116bf7-6705-47f2-b91d-48ab5db16291/PCAWG.37d0020a-d4d1-11e4-88e1-955970b4c781.STAR.v1.bam
EGAD00001003560	EGAZ00001312787	EGAF00001722624	12116bf7-6705-47f2-b91d-48ab5db16291/analysis.12116bf7-6705-47f2-b91d-48ab5db16291.GNOS.xml.gz
EGAD00001003560	EGAZ00001312789	EGAF00001722627	13922917-8c60-4da4-a968-b6bcbc0fe0bd/analysis.13922917-8c60-4da4-a968-b6bcbc0fe0bd.GNOS.xml.gz
EGAD00001003560	EGAZ00001312789	EGAF00001722626	13922917-8c60-4da4-a968-b6bcbc0fe0bd/PCAWG.135c8b0a-d4ae-11e4-8998-831dbabfa7f2.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312789	EGAF00001722625	13922917-8c60-4da4-a968-b6bcbc0fe0bd/PCAWG.135c8b0a-d4ae-11e4-8998-831dbabfa7f2.STAR.v1.bam
EGAD00001003560	EGAZ00001312791	EGAF00001722630	184cd47f-33df-470d-b098-cdc992fd9b74/analysis.184cd47f-33df-470d-b098-cdc992fd9b74.GNOS.xml.gz
EGAD00001003560	EGAZ00001312791	EGAF00001722629	184cd47f-33df-470d-b098-cdc992fd9b74/PCAWG.c81dee78-d484-11e4-89b6-d8b07afda675.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312791	EGAF00001722628	184cd47f-33df-470d-b098-cdc992fd9b74/PCAWG.c81dee78-d484-11e4-89b6-d8b07afda675.STAR.v1.bam
EGAD00001003560	EGAZ00001312794	EGAF00001722966	1a68a0b4-a146-43f8-a6f7-ff6a7aee8cfe/analysis.1a68a0b4-a146-43f8-a6f7-ff6a7aee8cfe.GNOS.xml.gz
EGAD00001003560	EGAZ00001312794	EGAF00001722965	1a68a0b4-a146-43f8-a6f7-ff6a7aee8cfe/PCAWG.0cf7077e-d4c5-11e4-8811-a30346a24af7.STAR.v1.bam.bai
EGAD00001003560	EGAZ00001312794	EGAF00001722964	1a68a0b4-a146-43f8-a6f7-ff6a7aee8cfe/PCAWG.0cf7077e-d4c5-11e4-8811-a30346a24af7.STAR.v1.bam
EGAD00001003560	EGAZ00001312795	EGAF00001722969	1ade4198-9f8e-4706-b0a3-ffe8a138e565/analysis.1ade4198-9f8e-4706-b0a3-ffe8a138e565.GNOS.xml.gz
EGAD00001003560	EGAZ00001312795	EGAF00001722967	1ade4198-9f8e-4706-b0a3-ffe8a138e565/PCAWG.a9ed40c2-d4cd-11e4-8938-9f40591ac8b1.STAR.v1.bam
EGAD00001003560	EGAZ00001312795	EGAF00001722968	1ade4198-9f8e-4706-b0a3-ffe8a138e565/PCAWG.a9ed40c2-d4cd-11e4-8938-9f40591ac8b1.STAR.v1.bam.bai
