dataset_id	analysis_id	file_id	file
EGAD00001003561	EGAZ00001312741	EGAF00001722553	04ad9d66-8fdc-4358-a32c-9b955f3735b6/PCAWG.c81dee78-d484-11e4-89b6-d8b07afda675.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312741	EGAF00001722555	04ad9d66-8fdc-4358-a32c-9b955f3735b6/analysis.04ad9d66-8fdc-4358-a32c-9b955f3735b6.GNOS.xml.gz
EGAD00001003561	EGAZ00001312741	EGAF00001722554	04ad9d66-8fdc-4358-a32c-9b955f3735b6/PCAWG.c81dee78-d484-11e4-89b6-d8b07afda675.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312742	EGAF00001722887	0aeaed2e-8773-4406-b2b1-8220670f971a/PCAWG.fa220b5a-d4db-11e4-906f-b7558cd5e466.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312742	EGAF00001722886	0aeaed2e-8773-4406-b2b1-8220670f971a/PCAWG.fa220b5a-d4db-11e4-906f-b7558cd5e466.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312742	EGAF00001722888	0aeaed2e-8773-4406-b2b1-8220670f971a/analysis.0aeaed2e-8773-4406-b2b1-8220670f971a.GNOS.xml.gz
EGAD00001003561	EGAZ00001312743	EGAF00001722556	0c8b4a2f-570b-480c-bf1e-bf4a222964f2/PCAWG.8b608b7a-d4d5-11e4-a827-bd90bc314f72.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312743	EGAF00001722557	0c8b4a2f-570b-480c-bf1e-bf4a222964f2/PCAWG.8b608b7a-d4d5-11e4-a827-bd90bc314f72.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312743	EGAF00001722558	0c8b4a2f-570b-480c-bf1e-bf4a222964f2/analysis.0c8b4a2f-570b-480c-bf1e-bf4a222964f2.GNOS.xml.gz
EGAD00001003561	EGAZ00001312744	EGAF00001722891	10cb2031-2d7f-45f9-a2d8-abd2ea5ecde7/analysis.10cb2031-2d7f-45f9-a2d8-abd2ea5ecde7.GNOS.xml.gz
EGAD00001003561	EGAZ00001312744	EGAF00001722890	10cb2031-2d7f-45f9-a2d8-abd2ea5ecde7/PCAWG.eca5197c-d4b3-11e4-a0f2-f6a8246bb544.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312744	EGAF00001722889	10cb2031-2d7f-45f9-a2d8-abd2ea5ecde7/PCAWG.eca5197c-d4b3-11e4-a0f2-f6a8246bb544.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312745	EGAF00001722561	1b372ae1-473d-4e07-b4d9-13a100d850ff/analysis.1b372ae1-473d-4e07-b4d9-13a100d850ff.GNOS.xml.gz
EGAD00001003561	EGAZ00001312745	EGAF00001722560	1b372ae1-473d-4e07-b4d9-13a100d850ff/PCAWG.4dfd2e72-d490-11e4-ac9d-e4bdfa9109bc.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312745	EGAF00001722559	1b372ae1-473d-4e07-b4d9-13a100d850ff/PCAWG.4dfd2e72-d490-11e4-ac9d-e4bdfa9109bc.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312746	EGAF00001722894	1b49a5d7-379e-475c-8534-8372ea606c60/analysis.1b49a5d7-379e-475c-8534-8372ea606c60.GNOS.xml.gz
EGAD00001003561	EGAZ00001312746	EGAF00001722893	1b49a5d7-379e-475c-8534-8372ea606c60/PCAWG.51d7aa0e-d49a-11e4-9348-87c8d816dc64.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312746	EGAF00001722892	1b49a5d7-379e-475c-8534-8372ea606c60/PCAWG.51d7aa0e-d49a-11e4-9348-87c8d816dc64.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312747	EGAF00001722562	1d2ed4fc-6fbb-4a68-84aa-ad81e4915e0d/PCAWG.b078e34a-d4a2-11e4-b290-b314fd7f2830.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312747	EGAF00001722563	1d2ed4fc-6fbb-4a68-84aa-ad81e4915e0d/PCAWG.b078e34a-d4a2-11e4-b290-b314fd7f2830.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312747	EGAF00001722564	1d2ed4fc-6fbb-4a68-84aa-ad81e4915e0d/analysis.1d2ed4fc-6fbb-4a68-84aa-ad81e4915e0d.GNOS.xml.gz
EGAD00001003561	EGAZ00001312748	EGAF00001722896	1e109770-3d6f-4852-a514-c050c3c166a5/PCAWG.71879e78-d4da-11e4-a7a0-a7b30dcbef67.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312748	EGAF00001722895	1e109770-3d6f-4852-a514-c050c3c166a5/PCAWG.71879e78-d4da-11e4-a7a0-a7b30dcbef67.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312748	EGAF00001722897	1e109770-3d6f-4852-a514-c050c3c166a5/analysis.1e109770-3d6f-4852-a514-c050c3c166a5.GNOS.xml.gz
EGAD00001003561	EGAZ00001312749	EGAF00001722566	21bf5006-bc17-4ff8-a13d-243d13917d19/PCAWG.e5404aea-d4c1-11e4-a259-b36fca32d320.TopHat2.v1.bam.bai
EGAD00001003561	EGAZ00001312749	EGAF00001722565	21bf5006-bc17-4ff8-a13d-243d13917d19/PCAWG.e5404aea-d4c1-11e4-a259-b36fca32d320.TopHat2.v1.bam
EGAD00001003561	EGAZ00001312749	EGAF00001722567	21bf5006-bc17-4ff8-a13d-243d13917d19/analysis.21bf5006-bc17-4ff8-a13d-243d13917d19.GNOS.xml.gz
