dataset_id	analysis_id	file_id	file
EGAD00001002120	EGAZ00001222762	EGAF00001073688	40574469-23bb-434e-8b12-de31eaad9d0d/5607627f21dcba1b49f55c72072f8d7c.bam
EGAD00001002120	EGAZ00001222762	EGAF00001073689	40574469-23bb-434e-8b12-de31eaad9d0d/5607627f21dcba1b49f55c72072f8d7c.bam.bai
EGAD00001002120	EGAZ00001222762	EGAF00001073690	40574469-23bb-434e-8b12-de31eaad9d0d/analysis.40574469-23bb-434e-8b12-de31eaad9d0d.GNOS.xml.gz
EGAD00001002120	EGAZ00001222763	EGAF00001073709	53fd3761-74b6-45f2-aa3c-7435fb54fb8c/928f0b44a1da85866b720c9d5ae79ac3.bam
EGAD00001002120	EGAZ00001222763	EGAF00001073710	53fd3761-74b6-45f2-aa3c-7435fb54fb8c/928f0b44a1da85866b720c9d5ae79ac3.bam.bai
EGAD00001002120	EGAZ00001222763	EGAF00001073711	53fd3761-74b6-45f2-aa3c-7435fb54fb8c/analysis.53fd3761-74b6-45f2-aa3c-7435fb54fb8c.GNOS.xml.gz
EGAD00001002120	EGAZ00001222764	EGAF00001073691	55c0c67c-f519-4fa4-a152-73fdcd4da074/1f646e401ffa704ca98be3ea1d0052c3.bam
EGAD00001002120	EGAZ00001222764	EGAF00001073692	55c0c67c-f519-4fa4-a152-73fdcd4da074/1f646e401ffa704ca98be3ea1d0052c3.bam.bai
EGAD00001002120	EGAZ00001222764	EGAF00001073693	55c0c67c-f519-4fa4-a152-73fdcd4da074/analysis.55c0c67c-f519-4fa4-a152-73fdcd4da074.GNOS.xml.gz
EGAD00001002120	EGAZ00001222765	EGAF00001073712	62bb121a-9c6f-46fc-9cc0-80ef7c5cfff3/d2178a63f857cfe6e828fbb90e04566d.bam
EGAD00001002120	EGAZ00001222765	EGAF00001073713	62bb121a-9c6f-46fc-9cc0-80ef7c5cfff3/d2178a63f857cfe6e828fbb90e04566d.bam.bai
EGAD00001002120	EGAZ00001222765	EGAF00001073714	62bb121a-9c6f-46fc-9cc0-80ef7c5cfff3/analysis.62bb121a-9c6f-46fc-9cc0-80ef7c5cfff3.GNOS.xml.gz
EGAD00001002120	EGAZ00001222766	EGAF00001073694	7511fe11-1aee-43c9-8682-9b6fc62953a4/9a4d4e66c06df7c0aa1d27657b3a3e02.bam
EGAD00001002120	EGAZ00001222766	EGAF00001073695	7511fe11-1aee-43c9-8682-9b6fc62953a4/9a4d4e66c06df7c0aa1d27657b3a3e02.bam.bai
EGAD00001002120	EGAZ00001222766	EGAF00001073696	7511fe11-1aee-43c9-8682-9b6fc62953a4/analysis.7511fe11-1aee-43c9-8682-9b6fc62953a4.GNOS.xml.gz
EGAD00001002120	EGAZ00001222767	EGAF00001073715	766c072d-55b2-4113-a8e9-b33fd855dfb4/59e8f1094d5a42383be300b1027ff74b.bam
EGAD00001002120	EGAZ00001222767	EGAF00001073716	766c072d-55b2-4113-a8e9-b33fd855dfb4/59e8f1094d5a42383be300b1027ff74b.bam.bai
EGAD00001002120	EGAZ00001222767	EGAF00001073717	766c072d-55b2-4113-a8e9-b33fd855dfb4/analysis.766c072d-55b2-4113-a8e9-b33fd855dfb4.GNOS.xml.gz
EGAD00001002120	EGAZ00001222768	EGAF00001073697	a424b103-282e-4091-8341-d5bfb19dee1a/84ad18a95d5440205fad64415ecb36b7.bam
EGAD00001002120	EGAZ00001222768	EGAF00001073698	a424b103-282e-4091-8341-d5bfb19dee1a/84ad18a95d5440205fad64415ecb36b7.bam.bai
EGAD00001002120	EGAZ00001222768	EGAF00001073699	a424b103-282e-4091-8341-d5bfb19dee1a/analysis.a424b103-282e-4091-8341-d5bfb19dee1a.GNOS.xml.gz
EGAD00001002120	EGAZ00001222769	EGAF00001073718	a5e27ebd-1bc1-426f-814a-921f25e165fd/ea1a4778b9df19b2f99202e67199e1b4.bam
EGAD00001002120	EGAZ00001222769	EGAF00001073719	a5e27ebd-1bc1-426f-814a-921f25e165fd/ea1a4778b9df19b2f99202e67199e1b4.bam.bai
EGAD00001002120	EGAZ00001222769	EGAF00001073720	a5e27ebd-1bc1-426f-814a-921f25e165fd/analysis.a5e27ebd-1bc1-426f-814a-921f25e165fd.GNOS.xml.gz
EGAD00001002120	EGAZ00001222770	EGAF00001073700	a61803ce-5a32-427b-8882-225335d15216/39190027b45d51f6b0ec9168d134cbdc.bam
EGAD00001002120	EGAZ00001222770	EGAF00001073701	a61803ce-5a32-427b-8882-225335d15216/39190027b45d51f6b0ec9168d134cbdc.bam.bai
EGAD00001002120	EGAZ00001222770	EGAF00001073702	a61803ce-5a32-427b-8882-225335d15216/analysis.a61803ce-5a32-427b-8882-225335d15216.GNOS.xml.gz
EGAD00001002120	EGAZ00001222771	EGAF00001073721	a9c910d8-dc3a-4630-a91e-dfc3f06d7d30/60d0ca9436affc5ab8574616645664e7.bam
EGAD00001002120	EGAZ00001222771	EGAF00001073722	a9c910d8-dc3a-4630-a91e-dfc3f06d7d30/60d0ca9436affc5ab8574616645664e7.bam.bai
EGAD00001002120	EGAZ00001222771	EGAF00001073723	a9c910d8-dc3a-4630-a91e-dfc3f06d7d30/analysis.a9c910d8-dc3a-4630-a91e-dfc3f06d7d30.GNOS.xml.gz
EGAD00001002120	EGAZ00001222772	EGAF00001073703	b4c79c14-1f92-4298-a890-587c33d95f99/81e7724ae2b0f05914b60a85188861d9.bam
EGAD00001002120	EGAZ00001222772	EGAF00001073704	b4c79c14-1f92-4298-a890-587c33d95f99/81e7724ae2b0f05914b60a85188861d9.bam.bai
EGAD00001002120	EGAZ00001222772	EGAF00001073705	b4c79c14-1f92-4298-a890-587c33d95f99/analysis.b4c79c14-1f92-4298-a890-587c33d95f99.GNOS.xml.gz
EGAD00001002120	EGAZ00001222773	EGAF00001073724	d10c1d17-d306-4b1e-9829-3cd7df042732/f5877a4a71e443f11b326b68019e0c20.bam
EGAD00001002120	EGAZ00001222773	EGAF00001073725	d10c1d17-d306-4b1e-9829-3cd7df042732/f5877a4a71e443f11b326b68019e0c20.bam.bai
EGAD00001002120	EGAZ00001222773	EGAF00001073726	d10c1d17-d306-4b1e-9829-3cd7df042732/analysis.d10c1d17-d306-4b1e-9829-3cd7df042732.GNOS.xml.gz
EGAD00001002120	EGAZ00001222774	EGAF00001073706	d1966ef7-5343-42ce-9445-45145231dcba/80cf7e067c23890a809ab5f4dfccaa62.bam
EGAD00001002120	EGAZ00001222774	EGAF00001073707	d1966ef7-5343-42ce-9445-45145231dcba/80cf7e067c23890a809ab5f4dfccaa62.bam.bai
EGAD00001002120	EGAZ00001222774	EGAF00001073708	d1966ef7-5343-42ce-9445-45145231dcba/analysis.d1966ef7-5343-42ce-9445-45145231dcba.GNOS.xml.gz
EGAD00001002120	EGAZ00001222775	EGAF00001073727	e0d3a212-9775-4d70-8b02-c4846cd17f25/f296434d15749c267bc954ea72931f1a.bam
EGAD00001002120	EGAZ00001222775	EGAF00001073728	e0d3a212-9775-4d70-8b02-c4846cd17f25/f296434d15749c267bc954ea72931f1a.bam.bai
EGAD00001002120	EGAZ00001222775	EGAF00001073729	e0d3a212-9775-4d70-8b02-c4846cd17f25/analysis.e0d3a212-9775-4d70-8b02-c4846cd17f25.GNOS.xml.gz
EGAD00001002120	EGAZ00001224416	EGAF00001149862	09d268f1-e797-4a74-b5ea-f2c269c9c56b/d3852abe44a3172fd193c11fe9b3084b.bam
EGAD00001002120	EGAZ00001224416	EGAF00001149863	09d268f1-e797-4a74-b5ea-f2c269c9c56b/d3852abe44a3172fd193c11fe9b3084b.bam.bai
EGAD00001002120	EGAZ00001224416	EGAF00001149864	09d268f1-e797-4a74-b5ea-f2c269c9c56b/analysis.09d268f1-e797-4a74-b5ea-f2c269c9c56b.GNOS.xml.gz
EGAD00001002120	EGAZ00001224417	EGAF00001149745	0b12d5cf-a1fd-45b3-9d71-10573cd18356/ec42f3593ea7f2125cc8ebd616b83363.bam
EGAD00001002120	EGAZ00001224417	EGAF00001149746	0b12d5cf-a1fd-45b3-9d71-10573cd18356/ec42f3593ea7f2125cc8ebd616b83363.bam.bai
EGAD00001002120	EGAZ00001224417	EGAF00001149747	0b12d5cf-a1fd-45b3-9d71-10573cd18356/analysis.0b12d5cf-a1fd-45b3-9d71-10573cd18356.GNOS.xml.gz
EGAD00001002120	EGAZ00001224418	EGAF00001149865	194c6959-cef3-4e29-bf26-b21ae0045171/43c6d87f8be2197903114d966c65a4dd.bam
EGAD00001002120	EGAZ00001224418	EGAF00001149866	194c6959-cef3-4e29-bf26-b21ae0045171/43c6d87f8be2197903114d966c65a4dd.bam.bai
EGAD00001002120	EGAZ00001224418	EGAF00001149867	194c6959-cef3-4e29-bf26-b21ae0045171/analysis.194c6959-cef3-4e29-bf26-b21ae0045171.GNOS.xml.gz
EGAD00001002120	EGAZ00001224419	EGAF00001149748	1e9604d7-ee97-43c7-8496-a5d140a087a1/506e611fccaf640073f491341632de1f.bam
EGAD00001002120	EGAZ00001224419	EGAF00001149749	1e9604d7-ee97-43c7-8496-a5d140a087a1/506e611fccaf640073f491341632de1f.bam.bai
EGAD00001002120	EGAZ00001224419	EGAF00001149750	1e9604d7-ee97-43c7-8496-a5d140a087a1/analysis.1e9604d7-ee97-43c7-8496-a5d140a087a1.GNOS.xml.gz
EGAD00001002120	EGAZ00001224420	EGAF00001149868	20446c7f-816b-4188-bb04-7f2c059ee668/aca28580efa612b9464734b9e6ab22fe.bam
EGAD00001002120	EGAZ00001224420	EGAF00001149869	20446c7f-816b-4188-bb04-7f2c059ee668/aca28580efa612b9464734b9e6ab22fe.bam.bai
EGAD00001002120	EGAZ00001224420	EGAF00001149870	20446c7f-816b-4188-bb04-7f2c059ee668/analysis.20446c7f-816b-4188-bb04-7f2c059ee668.GNOS.xml.gz
EGAD00001002120	EGAZ00001224421	EGAF00001149751	2cf2b0aa-36dc-43f2-b871-2f35995b01b4/84d126f4a25de2b6aec740de1e2fd999.bam
EGAD00001002120	EGAZ00001224421	EGAF00001149752	2cf2b0aa-36dc-43f2-b871-2f35995b01b4/84d126f4a25de2b6aec740de1e2fd999.bam.bai
EGAD00001002120	EGAZ00001224421	EGAF00001149753	2cf2b0aa-36dc-43f2-b871-2f35995b01b4/analysis.2cf2b0aa-36dc-43f2-b871-2f35995b01b4.GNOS.xml.gz
EGAD00001002120	EGAZ00001224422	EGAF00001149871	3786cfaf-ecca-470c-8f49-d548e72a754c/8cb216d7de5a543633b36e05540f021b.bam
EGAD00001002120	EGAZ00001224422	EGAF00001149872	3786cfaf-ecca-470c-8f49-d548e72a754c/8cb216d7de5a543633b36e05540f021b.bam.bai
EGAD00001002120	EGAZ00001224422	EGAF00001149873	3786cfaf-ecca-470c-8f49-d548e72a754c/analysis.3786cfaf-ecca-470c-8f49-d548e72a754c.GNOS.xml.gz
EGAD00001002120	EGAZ00001224423	EGAF00001149754	38d0caf3-f356-4942-b47d-51e42d9f1ca7/92cb9996b5fe8bf8ec9dedf134fb64a0.bam
EGAD00001002120	EGAZ00001224423	EGAF00001149755	38d0caf3-f356-4942-b47d-51e42d9f1ca7/92cb9996b5fe8bf8ec9dedf134fb64a0.bam.bai
EGAD00001002120	EGAZ00001224423	EGAF00001149756	38d0caf3-f356-4942-b47d-51e42d9f1ca7/analysis.38d0caf3-f356-4942-b47d-51e42d9f1ca7.GNOS.xml.gz
EGAD00001002120	EGAZ00001224424	EGAF00001149874	6b791024-9471-4a66-9633-cb3d29bfc1f6/33d4bc3925dfcaa8cc80d81dbed8cf64.bam
EGAD00001002120	EGAZ00001224424	EGAF00001149875	6b791024-9471-4a66-9633-cb3d29bfc1f6/33d4bc3925dfcaa8cc80d81dbed8cf64.bam.bai
EGAD00001002120	EGAZ00001224424	EGAF00001149876	6b791024-9471-4a66-9633-cb3d29bfc1f6/analysis.6b791024-9471-4a66-9633-cb3d29bfc1f6.GNOS.xml.gz
EGAD00001002120	EGAZ00001224425	EGAF00001149757	c9a148c7-44fd-4400-86b7-50179a6dd5c3/eee27f93f6b12eb91d45ff2b20bfab8f.bam
EGAD00001002120	EGAZ00001224425	EGAF00001149758	c9a148c7-44fd-4400-86b7-50179a6dd5c3/eee27f93f6b12eb91d45ff2b20bfab8f.bam.bai
EGAD00001002120	EGAZ00001224425	EGAF00001149759	c9a148c7-44fd-4400-86b7-50179a6dd5c3/analysis.c9a148c7-44fd-4400-86b7-50179a6dd5c3.GNOS.xml.gz
EGAD00001002120	EGAZ00001224426	EGAF00001149877	ddbe64a1-c982-47a2-ae6b-2a4a7930195a/2dfb6559e7f72bed806f406253eff487.bam
EGAD00001002120	EGAZ00001224426	EGAF00001149878	ddbe64a1-c982-47a2-ae6b-2a4a7930195a/2dfb6559e7f72bed806f406253eff487.bam.bai
EGAD00001002120	EGAZ00001224426	EGAF00001149879	ddbe64a1-c982-47a2-ae6b-2a4a7930195a/analysis.ddbe64a1-c982-47a2-ae6b-2a4a7930195a.GNOS.xml.gz
EGAD00001002120	EGAZ00001224427	EGAF00001149760	f1866930-31fd-4c53-ae8d-d597086588bc/1083cfa7e06197c3140e503944ecaf17.bam
EGAD00001002120	EGAZ00001224427	EGAF00001149761	f1866930-31fd-4c53-ae8d-d597086588bc/1083cfa7e06197c3140e503944ecaf17.bam.bai
EGAD00001002120	EGAZ00001224427	EGAF00001149762	f1866930-31fd-4c53-ae8d-d597086588bc/analysis.f1866930-31fd-4c53-ae8d-d597086588bc.GNOS.xml.gz
