dataset_id	analysis_id	file_id	file
EGAD00001003415	EGAZ00001310582	EGAF00001683432	00b0428e-8fa6-455d-9b9b-cc52387ae3e6/analysis.00b0428e-8fa6-455d-9b9b-cc52387ae3e6.GNOS.xml.gz
EGAD00001003415	EGAZ00001310582	EGAF00001683430	00b0428e-8fa6-455d-9b9b-cc52387ae3e6/PCAWG.01e50db2-06f3-45d3-85ec-ca9665660e13.STAR.v1.bam
EGAD00001003415	EGAZ00001310582	EGAF00001683431	00b0428e-8fa6-455d-9b9b-cc52387ae3e6/PCAWG.01e50db2-06f3-45d3-85ec-ca9665660e13.STAR.v1.bam.bai
EGAD00001003415	EGAZ00001310583	EGAF00001683433	090dcf9e-3e63-4f3c-b3b1-dcc5c9cda72e/PCAWG.dbc17fb8-3b90-4e10-8183-9bcf052a188a.STAR.v1.bam
EGAD00001003415	EGAZ00001310583	EGAF00001683435	090dcf9e-3e63-4f3c-b3b1-dcc5c9cda72e/analysis.090dcf9e-3e63-4f3c-b3b1-dcc5c9cda72e.GNOS.xml.gz
EGAD00001003415	EGAZ00001310583	EGAF00001683434	090dcf9e-3e63-4f3c-b3b1-dcc5c9cda72e/PCAWG.dbc17fb8-3b90-4e10-8183-9bcf052a188a.STAR.v1.bam.bai
EGAD00001003415	EGAZ00001310584	EGAF00001683438	12f82d51-3f49-4c6f-98ea-036a44a13df0/analysis.12f82d51-3f49-4c6f-98ea-036a44a13df0.GNOS.xml.gz
EGAD00001003415	EGAZ00001310584	EGAF00001683436	12f82d51-3f49-4c6f-98ea-036a44a13df0/PCAWG.45438d60-5a04-424d-b1d8-844162d4e525.STAR.v1.bam
EGAD00001003415	EGAZ00001310584	EGAF00001683437	12f82d51-3f49-4c6f-98ea-036a44a13df0/PCAWG.45438d60-5a04-424d-b1d8-844162d4e525.STAR.v1.bam.bai
EGAD00001003415	EGAZ00001310585	EGAF00001683439	18614be5-783e-4212-a88a-90a200dfec36/PCAWG.38f73f9a-3885-4203-9a38-23dce417520c.STAR.v1.bam
EGAD00001003415	EGAZ00001310585	EGAF00001683440	18614be5-783e-4212-a88a-90a200dfec36/PCAWG.38f73f9a-3885-4203-9a38-23dce417520c.STAR.v1.bam.bai
EGAD00001003415	EGAZ00001310585	EGAF00001683441	18614be5-783e-4212-a88a-90a200dfec36/analysis.18614be5-783e-4212-a88a-90a200dfec36.GNOS.xml.gz
EGAD00001003415	EGAZ00001310586	EGAF00001683443	18d844b1-4d3e-4877-9829-54a73e954cec/PCAWG.3832d101-3c09-4121-9652-6f40029847d5.STAR.v1.bam.bai
EGAD00001003415	EGAZ00001310586	EGAF00001683442	18d844b1-4d3e-4877-9829-54a73e954cec/PCAWG.3832d101-3c09-4121-9652-6f40029847d5.STAR.v1.bam
EGAD00001003415	EGAZ00001310586	EGAF00001683444	18d844b1-4d3e-4877-9829-54a73e954cec/analysis.18d844b1-4d3e-4877-9829-54a73e954cec.GNOS.xml.gz
