dataset_id	analysis_id	file_id	file
EGAD00001003416	EGAZ00001310675	EGAF00001683710	0277444d-c151-4b57-a161-687a51ab5e89/PCAWG.8a30d91f-609b-498b-83fe-06434eb422e3.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310675	EGAF00001683711	0277444d-c151-4b57-a161-687a51ab5e89/analysis.0277444d-c151-4b57-a161-687a51ab5e89.GNOS.xml.gz
EGAD00001003416	EGAZ00001310675	EGAF00001683709	0277444d-c151-4b57-a161-687a51ab5e89/PCAWG.8a30d91f-609b-498b-83fe-06434eb422e3.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310676	EGAF00001683713	0a2c8a06-4bde-40d5-8d39-1644b19314b6/PCAWG.1f770205-fece-47c8-a12e-99b3450337b3.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310676	EGAF00001683714	0a2c8a06-4bde-40d5-8d39-1644b19314b6/analysis.0a2c8a06-4bde-40d5-8d39-1644b19314b6.GNOS.xml.gz
EGAD00001003416	EGAZ00001310676	EGAF00001683712	0a2c8a06-4bde-40d5-8d39-1644b19314b6/PCAWG.1f770205-fece-47c8-a12e-99b3450337b3.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310677	EGAF00001683717	0d7e7a1a-35ec-4a8b-b211-d9711e420fa4/analysis.0d7e7a1a-35ec-4a8b-b211-d9711e420fa4.GNOS.xml.gz
EGAD00001003416	EGAZ00001310677	EGAF00001683715	0d7e7a1a-35ec-4a8b-b211-d9711e420fa4/PCAWG.a5450531-7714-4697-a404-3747feff5c99.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310677	EGAF00001683716	0d7e7a1a-35ec-4a8b-b211-d9711e420fa4/PCAWG.a5450531-7714-4697-a404-3747feff5c99.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310678	EGAF00001683718	0d8c4d3e-5a2d-4329-812a-ecd8245f91ba/PCAWG.be332f3a-f514-4f05-903a-2289b22620bf.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310678	EGAF00001683719	0d8c4d3e-5a2d-4329-812a-ecd8245f91ba/PCAWG.be332f3a-f514-4f05-903a-2289b22620bf.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310678	EGAF00001683720	0d8c4d3e-5a2d-4329-812a-ecd8245f91ba/analysis.0d8c4d3e-5a2d-4329-812a-ecd8245f91ba.GNOS.xml.gz
EGAD00001003416	EGAZ00001310679	EGAF00001683722	0f04b9ff-6f11-494c-a497-9919f8e33384/PCAWG.2e366a11-2737-48d5-bbf9-34a86a3355d6.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310679	EGAF00001683723	0f04b9ff-6f11-494c-a497-9919f8e33384/analysis.0f04b9ff-6f11-494c-a497-9919f8e33384.GNOS.xml.gz
EGAD00001003416	EGAZ00001310679	EGAF00001683721	0f04b9ff-6f11-494c-a497-9919f8e33384/PCAWG.2e366a11-2737-48d5-bbf9-34a86a3355d6.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310680	EGAF00001683726	1575f47b-b9ed-48f4-afc4-24f47d21f002/analysis.1575f47b-b9ed-48f4-afc4-24f47d21f002.GNOS.xml.gz
EGAD00001003416	EGAZ00001310680	EGAF00001683725	1575f47b-b9ed-48f4-afc4-24f47d21f002/PCAWG.b9999aa7-279a-4d74-ae50-6c2ab1d27696.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310680	EGAF00001683724	1575f47b-b9ed-48f4-afc4-24f47d21f002/PCAWG.b9999aa7-279a-4d74-ae50-6c2ab1d27696.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310681	EGAF00001683728	15dda0bd-e0ae-4ed6-aec6-da3195403b5e/PCAWG.111724fa-ffce-4472-ae1d-eef1f4804796.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310681	EGAF00001683729	15dda0bd-e0ae-4ed6-aec6-da3195403b5e/analysis.15dda0bd-e0ae-4ed6-aec6-da3195403b5e.GNOS.xml.gz
EGAD00001003416	EGAZ00001310681	EGAF00001683727	15dda0bd-e0ae-4ed6-aec6-da3195403b5e/PCAWG.111724fa-ffce-4472-ae1d-eef1f4804796.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310682	EGAF00001683730	17cb14a3-8241-4b6a-a605-f6d9b84f91b6/PCAWG.38f73f9a-3885-4203-9a38-23dce417520c.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310682	EGAF00001683731	17cb14a3-8241-4b6a-a605-f6d9b84f91b6/PCAWG.38f73f9a-3885-4203-9a38-23dce417520c.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310682	EGAF00001683732	17cb14a3-8241-4b6a-a605-f6d9b84f91b6/analysis.17cb14a3-8241-4b6a-a605-f6d9b84f91b6.GNOS.xml.gz
EGAD00001003416	EGAZ00001310683	EGAF00001683733	1af8e98f-2832-4ad0-aa92-f87935a179e3/PCAWG.d6dda3e7-5a17-41b9-8dac-e2eebf8a02cf.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310683	EGAF00001683734	1af8e98f-2832-4ad0-aa92-f87935a179e3/PCAWG.d6dda3e7-5a17-41b9-8dac-e2eebf8a02cf.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310683	EGAF00001683735	1af8e98f-2832-4ad0-aa92-f87935a179e3/analysis.1af8e98f-2832-4ad0-aa92-f87935a179e3.GNOS.xml.gz
EGAD00001003416	EGAZ00001310684	EGAF00001683738	1dbd3dc3-0833-41d9-9c5a-840303b86f9e/analysis.1dbd3dc3-0833-41d9-9c5a-840303b86f9e.GNOS.xml.gz
EGAD00001003416	EGAZ00001310684	EGAF00001683736	1dbd3dc3-0833-41d9-9c5a-840303b86f9e/PCAWG.75133cb2-d8e1-4ed1-8b75-8115bc6b2747.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310684	EGAF00001683737	1dbd3dc3-0833-41d9-9c5a-840303b86f9e/PCAWG.75133cb2-d8e1-4ed1-8b75-8115bc6b2747.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310685	EGAF00001683739	1ea832c4-5234-4be3-86a1-2982ad907ab5/PCAWG.4ab6f824-6fee-4623-a549-dc5f97152790.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310685	EGAF00001683740	1ea832c4-5234-4be3-86a1-2982ad907ab5/PCAWG.4ab6f824-6fee-4623-a549-dc5f97152790.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310685	EGAF00001683741	1ea832c4-5234-4be3-86a1-2982ad907ab5/analysis.1ea832c4-5234-4be3-86a1-2982ad907ab5.GNOS.xml.gz
EGAD00001003416	EGAZ00001310686	EGAF00001683742	24df46cd-f38f-48e2-9d6d-009c81f8a3e6/PCAWG.3d3fa69f-4653-4c79-96b3-aa451f149fe6.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310686	EGAF00001683744	24df46cd-f38f-48e2-9d6d-009c81f8a3e6/analysis.24df46cd-f38f-48e2-9d6d-009c81f8a3e6.GNOS.xml.gz
EGAD00001003416	EGAZ00001310686	EGAF00001683743	24df46cd-f38f-48e2-9d6d-009c81f8a3e6/PCAWG.3d3fa69f-4653-4c79-96b3-aa451f149fe6.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310687	EGAF00001683747	25fa6704-8c77-4970-9995-50944648464a/analysis.25fa6704-8c77-4970-9995-50944648464a.GNOS.xml.gz
EGAD00001003416	EGAZ00001310687	EGAF00001683746	25fa6704-8c77-4970-9995-50944648464a/PCAWG.0413de9e-b480-4bda-afd0-e0ba293012c3.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310687	EGAF00001683745	25fa6704-8c77-4970-9995-50944648464a/PCAWG.0413de9e-b480-4bda-afd0-e0ba293012c3.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310688	EGAF00001683750	268dc3cc-0a87-44b0-925f-646702f02872/analysis.268dc3cc-0a87-44b0-925f-646702f02872.GNOS.xml.gz
EGAD00001003416	EGAZ00001310688	EGAF00001683749	268dc3cc-0a87-44b0-925f-646702f02872/PCAWG.dbc17fb8-3b90-4e10-8183-9bcf052a188a.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310688	EGAF00001683748	268dc3cc-0a87-44b0-925f-646702f02872/PCAWG.dbc17fb8-3b90-4e10-8183-9bcf052a188a.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310689	EGAF00001683752	27f76aaf-9020-4a9a-9245-069b80d40a58/PCAWG.433e7fc8-fd85-4346-ad97-18cc025f9d05.TopHat2.v1.bam.bai
EGAD00001003416	EGAZ00001310689	EGAF00001683751	27f76aaf-9020-4a9a-9245-069b80d40a58/PCAWG.433e7fc8-fd85-4346-ad97-18cc025f9d05.TopHat2.v1.bam
EGAD00001003416	EGAZ00001310689	EGAF00001683753	27f76aaf-9020-4a9a-9245-069b80d40a58/analysis.27f76aaf-9020-4a9a-9245-069b80d40a58.GNOS.xml.gz
