dataset_id	analysis_id	file_id	file
EGAD00001003227	EGAZ00001222840	EGAF00001085191	40cf233f-cacb-48fa-b70f-42f6272b5fc7/analysis.40cf233f-cacb-48fa-b70f-42f6272b5fc7.GNOS.xml.gz
EGAD00001003227	EGAZ00001222840	EGAF00001085189	40cf233f-cacb-48fa-b70f-42f6272b5fc7/f635984874ee39f2aed5c0ae57d31c00.bam
EGAD00001003227	EGAZ00001222840	EGAF00001085190	40cf233f-cacb-48fa-b70f-42f6272b5fc7/f635984874ee39f2aed5c0ae57d31c00.bam.bai
EGAD00001003227	EGAZ00001222841	EGAF00001083833	4629bd17-bbab-4118-90c4-500d848a80a8/d8afd631894ec9b698227e5cff1040d5.bam.bai
EGAD00001003227	EGAZ00001222841	EGAF00001083834	4629bd17-bbab-4118-90c4-500d848a80a8/analysis.4629bd17-bbab-4118-90c4-500d848a80a8.GNOS.xml.gz
EGAD00001003227	EGAZ00001222841	EGAF00001083832	4629bd17-bbab-4118-90c4-500d848a80a8/d8afd631894ec9b698227e5cff1040d5.bam
EGAD00001003227	EGAZ00001222842	EGAF00001085193	46a86dac-9754-41ab-8bd6-a1b977f71b64/f98f78b6946b6acbfe982adbeee3b775.bam.bai
EGAD00001003227	EGAZ00001222842	EGAF00001085194	46a86dac-9754-41ab-8bd6-a1b977f71b64/analysis.46a86dac-9754-41ab-8bd6-a1b977f71b64.GNOS.xml.gz
EGAD00001003227	EGAZ00001222842	EGAF00001085192	46a86dac-9754-41ab-8bd6-a1b977f71b64/f98f78b6946b6acbfe982adbeee3b775.bam
EGAD00001003227	EGAZ00001222843	EGAF00001083837	4b51eb35-c5c9-4931-b101-8f5cadc45666/analysis.4b51eb35-c5c9-4931-b101-8f5cadc45666.GNOS.xml.gz
EGAD00001003227	EGAZ00001222843	EGAF00001083835	4b51eb35-c5c9-4931-b101-8f5cadc45666/edeee1fb5c0921a21b2641ef0372cf80.bam
EGAD00001003227	EGAZ00001222843	EGAF00001083836	4b51eb35-c5c9-4931-b101-8f5cadc45666/edeee1fb5c0921a21b2641ef0372cf80.bam.bai
EGAD00001003227	EGAZ00001222844	EGAF00001085197	4b7fae3c-8867-4d4b-971b-0170009b2fcb/analysis.4b7fae3c-8867-4d4b-971b-0170009b2fcb.GNOS.xml.gz
EGAD00001003227	EGAZ00001222844	EGAF00001085195	4b7fae3c-8867-4d4b-971b-0170009b2fcb/9702d264f1ca2ccd195c35a67e141fcc.bam
EGAD00001003227	EGAZ00001222844	EGAF00001085196	4b7fae3c-8867-4d4b-971b-0170009b2fcb/9702d264f1ca2ccd195c35a67e141fcc.bam.bai
EGAD00001003227	EGAZ00001222845	EGAF00001083838	4be8360a-625c-491d-9ff4-e70afb69816b/f54e5ff8eadd04483ee881a81d75d84f.bam
EGAD00001003227	EGAZ00001222845	EGAF00001083839	4be8360a-625c-491d-9ff4-e70afb69816b/f54e5ff8eadd04483ee881a81d75d84f.bam.bai
EGAD00001003227	EGAZ00001222845	EGAF00001083840	4be8360a-625c-491d-9ff4-e70afb69816b/analysis.4be8360a-625c-491d-9ff4-e70afb69816b.GNOS.xml.gz
EGAD00001003227	EGAZ00001222846	EGAF00001085199	4ce4f676-a18e-4a6c-a878-e59be89c85a4/b881287cbf93ab70cd9ef78d6e0419cd.bam.bai
EGAD00001003227	EGAZ00001222846	EGAF00001085200	4ce4f676-a18e-4a6c-a878-e59be89c85a4/analysis.4ce4f676-a18e-4a6c-a878-e59be89c85a4.GNOS.xml.gz
EGAD00001003227	EGAZ00001222846	EGAF00001085198	4ce4f676-a18e-4a6c-a878-e59be89c85a4/b881287cbf93ab70cd9ef78d6e0419cd.bam
EGAD00001003227	EGAZ00001222847	EGAF00001083842	4f569bdb-aa3c-4421-a252-4b9f2738b3c8/8170a9f5c9c507c7f9e38451fe1b48bb.bam.bai
EGAD00001003227	EGAZ00001222847	EGAF00001083843	4f569bdb-aa3c-4421-a252-4b9f2738b3c8/analysis.4f569bdb-aa3c-4421-a252-4b9f2738b3c8.GNOS.xml.gz
EGAD00001003227	EGAZ00001222847	EGAF00001083841	4f569bdb-aa3c-4421-a252-4b9f2738b3c8/8170a9f5c9c507c7f9e38451fe1b48bb.bam
EGAD00001003227	EGAZ00001222848	EGAF00001085201	533c53b0-45c4-4837-9872-08a1ac453677/be8e93eb7977d9037bd646d3dfae1a10.bam
EGAD00001003227	EGAZ00001222848	EGAF00001085202	533c53b0-45c4-4837-9872-08a1ac453677/be8e93eb7977d9037bd646d3dfae1a10.bam.bai
EGAD00001003227	EGAZ00001222848	EGAF00001085203	533c53b0-45c4-4837-9872-08a1ac453677/analysis.533c53b0-45c4-4837-9872-08a1ac453677.GNOS.xml.gz
EGAD00001003227	EGAZ00001222849	EGAF00001083844	55ad7165-f25e-4c8f-a0f8-6cc87f1afb1c/198f56e26d1e123f459ce837c1873cb7.bam
EGAD00001003227	EGAZ00001222849	EGAF00001083845	55ad7165-f25e-4c8f-a0f8-6cc87f1afb1c/198f56e26d1e123f459ce837c1873cb7.bam.bai
EGAD00001003227	EGAZ00001222849	EGAF00001083846	55ad7165-f25e-4c8f-a0f8-6cc87f1afb1c/analysis.55ad7165-f25e-4c8f-a0f8-6cc87f1afb1c.GNOS.xml.gz
EGAD00001003227	EGAZ00001222850	EGAF00001085204	55c9400c-164c-4411-a220-4e61398560a1/9575f0efb0f91c13d1a357458e379e52.bam
EGAD00001003227	EGAZ00001222850	EGAF00001085206	55c9400c-164c-4411-a220-4e61398560a1/analysis.55c9400c-164c-4411-a220-4e61398560a1.GNOS.xml.gz
EGAD00001003227	EGAZ00001222850	EGAF00001085205	55c9400c-164c-4411-a220-4e61398560a1/9575f0efb0f91c13d1a357458e379e52.bam.bai
EGAD00001003227	EGAZ00001222851	EGAF00001083848	55e627f8-7dbf-4def-ad6f-12a04814d5e5/2302c05cfac5ebdcb403b8ceb2c055cf.bam.bai
EGAD00001003227	EGAZ00001222851	EGAF00001083847	55e627f8-7dbf-4def-ad6f-12a04814d5e5/2302c05cfac5ebdcb403b8ceb2c055cf.bam
EGAD00001003227	EGAZ00001222851	EGAF00001083849	55e627f8-7dbf-4def-ad6f-12a04814d5e5/analysis.55e627f8-7dbf-4def-ad6f-12a04814d5e5.GNOS.xml.gz
EGAD00001003227	EGAZ00001222852	EGAF00001085208	564a8e07-6160-415c-b222-ff682baa53d3/c439b53742f8b249d9491d93cbaa1dd0.bam.bai
EGAD00001003227	EGAZ00001222852	EGAF00001085209	564a8e07-6160-415c-b222-ff682baa53d3/analysis.564a8e07-6160-415c-b222-ff682baa53d3.GNOS.xml.gz
EGAD00001003227	EGAZ00001222852	EGAF00001085207	564a8e07-6160-415c-b222-ff682baa53d3/c439b53742f8b249d9491d93cbaa1dd0.bam
EGAD00001003227	EGAZ00001222853	EGAF00001083851	59f41b57-6363-491a-8471-355d6dd9b243/f765c0dd840f44ca6f376d0dbb8664fe.bam.bai
EGAD00001003227	EGAZ00001222853	EGAF00001083852	59f41b57-6363-491a-8471-355d6dd9b243/analysis.59f41b57-6363-491a-8471-355d6dd9b243.GNOS.xml.gz
EGAD00001003227	EGAZ00001222853	EGAF00001083850	59f41b57-6363-491a-8471-355d6dd9b243/f765c0dd840f44ca6f376d0dbb8664fe.bam
EGAD00001003227	EGAZ00001222854	EGAF00001085210	5ed25432-e4c0-4528-b5d6-ed66af4b76d1/84ef1066c6c44a850c07cf348a2be714.bam
EGAD00001003227	EGAZ00001222854	EGAF00001085212	5ed25432-e4c0-4528-b5d6-ed66af4b76d1/analysis.5ed25432-e4c0-4528-b5d6-ed66af4b76d1.GNOS.xml.gz
EGAD00001003227	EGAZ00001222854	EGAF00001085211	5ed25432-e4c0-4528-b5d6-ed66af4b76d1/84ef1066c6c44a850c07cf348a2be714.bam.bai
EGAD00001003227	EGAZ00001222855	EGAF00001083855	609b0e2a-5cf8-4748-9726-851ef1ba5f12/analysis.609b0e2a-5cf8-4748-9726-851ef1ba5f12.GNOS.xml.gz
EGAD00001003227	EGAZ00001222855	EGAF00001083854	609b0e2a-5cf8-4748-9726-851ef1ba5f12/dc97ce3af2bdad1106972b7304b50d5a.bam.bai
EGAD00001003227	EGAZ00001222855	EGAF00001083853	609b0e2a-5cf8-4748-9726-851ef1ba5f12/dc97ce3af2bdad1106972b7304b50d5a.bam
EGAD00001003227	EGAZ00001222856	EGAF00001085213	61fe54d4-3594-48ee-b030-56625c22257a/c43b5028286580f19337b778ec89cbc4.bam
EGAD00001003227	EGAZ00001222856	EGAF00001085215	61fe54d4-3594-48ee-b030-56625c22257a/analysis.61fe54d4-3594-48ee-b030-56625c22257a.GNOS.xml.gz
EGAD00001003227	EGAZ00001222856	EGAF00001085214	61fe54d4-3594-48ee-b030-56625c22257a/c43b5028286580f19337b778ec89cbc4.bam.bai
EGAD00001003227	EGAZ00001222858	EGAF00001085218	65861edf-aaf2-4477-a991-e39e72b2b5cf/analysis.65861edf-aaf2-4477-a991-e39e72b2b5cf.GNOS.xml.gz
EGAD00001003227	EGAZ00001222858	EGAF00001085217	65861edf-aaf2-4477-a991-e39e72b2b5cf/be13d94be5382610fbf83f8ffa39567d.bam.bai
EGAD00001003227	EGAZ00001222858	EGAF00001085216	65861edf-aaf2-4477-a991-e39e72b2b5cf/be13d94be5382610fbf83f8ffa39567d.bam
EGAD00001003227	EGAZ00001222859	EGAF00001083861	68703751-9114-4376-82c7-96d40cd1f53b/analysis.68703751-9114-4376-82c7-96d40cd1f53b.GNOS.xml.gz
EGAD00001003227	EGAZ00001222859	EGAF00001083859	68703751-9114-4376-82c7-96d40cd1f53b/19da932c2788200bc79cbb98ae2a8585.bam
EGAD00001003227	EGAZ00001222859	EGAF00001083860	68703751-9114-4376-82c7-96d40cd1f53b/19da932c2788200bc79cbb98ae2a8585.bam.bai
EGAD00001003227	EGAZ00001222860	EGAF00001085221	6b98912c-9367-446a-899c-abd80dbe6d02/analysis.6b98912c-9367-446a-899c-abd80dbe6d02.GNOS.xml.gz
EGAD00001003227	EGAZ00001222860	EGAF00001085219	6b98912c-9367-446a-899c-abd80dbe6d02/6e790d872cb0ddbf25e9490ef1d86ba4.bam
EGAD00001003227	EGAZ00001222860	EGAF00001085220	6b98912c-9367-446a-899c-abd80dbe6d02/6e790d872cb0ddbf25e9490ef1d86ba4.bam.bai
EGAD00001003227	EGAZ00001222861	EGAF00001083864	6e629083-bc1e-405d-a595-0489e51b9e6e/analysis.6e629083-bc1e-405d-a595-0489e51b9e6e.GNOS.xml.gz
EGAD00001003227	EGAZ00001222861	EGAF00001083863	6e629083-bc1e-405d-a595-0489e51b9e6e/31bd52870c601240cb7c67544adde3cc.bam.bai
EGAD00001003227	EGAZ00001222861	EGAF00001083862	6e629083-bc1e-405d-a595-0489e51b9e6e/31bd52870c601240cb7c67544adde3cc.bam
EGAD00001003227	EGAZ00001222862	EGAF00001085224	72ffd755-dff0-49e3-a4d2-1dc8ca7a1639/analysis.72ffd755-dff0-49e3-a4d2-1dc8ca7a1639.GNOS.xml.gz
EGAD00001003227	EGAZ00001222862	EGAF00001085222	72ffd755-dff0-49e3-a4d2-1dc8ca7a1639/ea0b32fdbac50418cb31247474c0eeab.bam
EGAD00001003227	EGAZ00001222862	EGAF00001085223	72ffd755-dff0-49e3-a4d2-1dc8ca7a1639/ea0b32fdbac50418cb31247474c0eeab.bam.bai
EGAD00001003227	EGAZ00001222863	EGAF00001083865	76bed7f5-f217-49ea-bc93-b1dc3ac91afc/67c569de7bc46091b59a710323ff56c8.bam
EGAD00001003227	EGAZ00001222863	EGAF00001083866	76bed7f5-f217-49ea-bc93-b1dc3ac91afc/67c569de7bc46091b59a710323ff56c8.bam.bai
EGAD00001003227	EGAZ00001222863	EGAF00001083867	76bed7f5-f217-49ea-bc93-b1dc3ac91afc/analysis.76bed7f5-f217-49ea-bc93-b1dc3ac91afc.GNOS.xml.gz
EGAD00001003227	EGAZ00001222864	EGAF00001085225	7a68d8c8-b552-4a88-a1dc-d4ee600d7c45/a60741d1912452e1f392c9c6b3ad102f.bam
EGAD00001003227	EGAZ00001222864	EGAF00001085226	7a68d8c8-b552-4a88-a1dc-d4ee600d7c45/a60741d1912452e1f392c9c6b3ad102f.bam.bai
EGAD00001003227	EGAZ00001222864	EGAF00001085227	7a68d8c8-b552-4a88-a1dc-d4ee600d7c45/analysis.7a68d8c8-b552-4a88-a1dc-d4ee600d7c45.GNOS.xml.gz
EGAD00001003227	EGAZ00001222865	EGAF00001083869	7d8449fd-3267-4933-b53f-672d18b74972/2d97dc0ce20a80d27b549feb6e5d131c.bam.bai
EGAD00001003227	EGAZ00001222865	EGAF00001083868	7d8449fd-3267-4933-b53f-672d18b74972/2d97dc0ce20a80d27b549feb6e5d131c.bam
EGAD00001003227	EGAZ00001222865	EGAF00001083870	7d8449fd-3267-4933-b53f-672d18b74972/analysis.7d8449fd-3267-4933-b53f-672d18b74972.GNOS.xml.gz
EGAD00001003227	EGAZ00001222866	EGAF00001085228	8002f0c0-5d84-4268-bbfd-9f6f60e30654/c1bd1ed5ce03f1c18e152c419b65f657.bam
EGAD00001003227	EGAZ00001222866	EGAF00001085229	8002f0c0-5d84-4268-bbfd-9f6f60e30654/c1bd1ed5ce03f1c18e152c419b65f657.bam.bai
EGAD00001003227	EGAZ00001222866	EGAF00001085230	8002f0c0-5d84-4268-bbfd-9f6f60e30654/analysis.8002f0c0-5d84-4268-bbfd-9f6f60e30654.GNOS.xml.gz
EGAD00001003227	EGAZ00001222867	EGAF00001083873	82d6ee0a-98b6-47cf-856a-6d30f93f2bd3/analysis.82d6ee0a-98b6-47cf-856a-6d30f93f2bd3.GNOS.xml.gz
EGAD00001003227	EGAZ00001222867	EGAF00001083871	82d6ee0a-98b6-47cf-856a-6d30f93f2bd3/581b5d4a62deb1fd58ca3aee34d8fe2e.bam
EGAD00001003227	EGAZ00001222867	EGAF00001083872	82d6ee0a-98b6-47cf-856a-6d30f93f2bd3/581b5d4a62deb1fd58ca3aee34d8fe2e.bam.bai
EGAD00001003227	EGAZ00001222871	EGAF00001083877	8a6b9201-3435-4366-b096-41d62e259fd0/9668ff4ecd7dd9421336603dab4b5853.bam
EGAD00001003227	EGAZ00001222871	EGAF00001083878	8a6b9201-3435-4366-b096-41d62e259fd0/9668ff4ecd7dd9421336603dab4b5853.bam.bai
EGAD00001003227	EGAZ00001222871	EGAF00001083879	8a6b9201-3435-4366-b096-41d62e259fd0/analysis.8a6b9201-3435-4366-b096-41d62e259fd0.GNOS.xml.gz
EGAD00001003227	EGAZ00001222872	EGAF00001085238	8ad6ff86-6966-4e0b-8d3b-697b099281a0/75b88770f54a95e637e52910471d8112.bam.bai
EGAD00001003227	EGAZ00001222872	EGAF00001085237	8ad6ff86-6966-4e0b-8d3b-697b099281a0/75b88770f54a95e637e52910471d8112.bam
EGAD00001003227	EGAZ00001222872	EGAF00001085239	8ad6ff86-6966-4e0b-8d3b-697b099281a0/analysis.8ad6ff86-6966-4e0b-8d3b-697b099281a0.GNOS.xml.gz
EGAD00001003227	EGAZ00001222873	EGAF00001083882	8b579a8a-7820-40ca-90db-b1266c0138ad/analysis.8b579a8a-7820-40ca-90db-b1266c0138ad.GNOS.xml.gz
EGAD00001003227	EGAZ00001222873	EGAF00001083880	8b579a8a-7820-40ca-90db-b1266c0138ad/c54d950ecfe6d60bf2a88fc9cda8848c.bam
EGAD00001003227	EGAZ00001222873	EGAF00001083881	8b579a8a-7820-40ca-90db-b1266c0138ad/c54d950ecfe6d60bf2a88fc9cda8848c.bam.bai
EGAD00001003227	EGAZ00001222874	EGAF00001085242	8fa58b3b-810f-432b-bedf-540b684e9fd3/analysis.8fa58b3b-810f-432b-bedf-540b684e9fd3.GNOS.xml.gz
EGAD00001003227	EGAZ00001222874	EGAF00001085241	8fa58b3b-810f-432b-bedf-540b684e9fd3/b148f23abc6b161e4da6f83278170e71.bam.bai
