dataset_id	analysis_id	file_id	file
EGAD00001003410	EGAZ00001310335	EGAF00001682662	009bebd8-3cf9-45a8-8546-1a09a8bf91a1/PCAWG.8e0862eb-73e2-42c0-b809-9510a888b931.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310335	EGAF00001682663	009bebd8-3cf9-45a8-8546-1a09a8bf91a1/analysis.009bebd8-3cf9-45a8-8546-1a09a8bf91a1.GNOS.xml.gz
EGAD00001003410	EGAZ00001310335	EGAF00001682661	009bebd8-3cf9-45a8-8546-1a09a8bf91a1/PCAWG.8e0862eb-73e2-42c0-b809-9510a888b931.STAR.v1.bam
EGAD00001003410	EGAZ00001310336	EGAF00001682665	0143546b-75ac-448a-9089-129eb1f48989/PCAWG.f3d39b1d-8fba-4f5b-8937-eb6076d2865c.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310336	EGAF00001682666	0143546b-75ac-448a-9089-129eb1f48989/analysis.0143546b-75ac-448a-9089-129eb1f48989.GNOS.xml.gz
EGAD00001003410	EGAZ00001310336	EGAF00001682664	0143546b-75ac-448a-9089-129eb1f48989/PCAWG.f3d39b1d-8fba-4f5b-8937-eb6076d2865c.STAR.v1.bam
EGAD00001003410	EGAZ00001310337	EGAF00001682668	0ad5fc08-f5ab-4d8e-ba97-6d90464a2844/PCAWG.22878cb6-af53-48bb-88f6-ffb174c24fb4.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310337	EGAF00001682669	0ad5fc08-f5ab-4d8e-ba97-6d90464a2844/analysis.0ad5fc08-f5ab-4d8e-ba97-6d90464a2844.GNOS.xml.gz
EGAD00001003410	EGAZ00001310337	EGAF00001682667	0ad5fc08-f5ab-4d8e-ba97-6d90464a2844/PCAWG.22878cb6-af53-48bb-88f6-ffb174c24fb4.STAR.v1.bam
EGAD00001003410	EGAZ00001310338	EGAF00001682672	0db2688d-a079-4d32-b27d-e29190b39da1/analysis.0db2688d-a079-4d32-b27d-e29190b39da1.GNOS.xml.gz
EGAD00001003410	EGAZ00001310338	EGAF00001682671	0db2688d-a079-4d32-b27d-e29190b39da1/PCAWG.7c7b1830-232a-410c-94cb-8e0703932f50.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310338	EGAF00001682670	0db2688d-a079-4d32-b27d-e29190b39da1/PCAWG.7c7b1830-232a-410c-94cb-8e0703932f50.STAR.v1.bam
EGAD00001003410	EGAZ00001310339	EGAF00001682673	0db91af6-e9e4-4791-9956-cded8ed67ad8/PCAWG.46e5b2c2-db11-463f-a17e-2c855ab9648a.STAR.v1.bam
EGAD00001003410	EGAZ00001310339	EGAF00001682675	0db91af6-e9e4-4791-9956-cded8ed67ad8/analysis.0db91af6-e9e4-4791-9956-cded8ed67ad8.GNOS.xml.gz
EGAD00001003410	EGAZ00001310339	EGAF00001682674	0db91af6-e9e4-4791-9956-cded8ed67ad8/PCAWG.46e5b2c2-db11-463f-a17e-2c855ab9648a.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310340	EGAF00001682676	1236be73-0d10-4be8-9475-70555548126a/PCAWG.56f9c8a3-d3e2-47d8-919c-2b12d76c9c2b.STAR.v1.bam
EGAD00001003410	EGAZ00001310340	EGAF00001682678	1236be73-0d10-4be8-9475-70555548126a/analysis.1236be73-0d10-4be8-9475-70555548126a.GNOS.xml.gz
EGAD00001003410	EGAZ00001310340	EGAF00001682677	1236be73-0d10-4be8-9475-70555548126a/PCAWG.56f9c8a3-d3e2-47d8-919c-2b12d76c9c2b.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310341	EGAF00001682680	12a72dd1-adef-4dcb-a17d-feaddc75455c/PCAWG.64684385-98ad-4adc-8245-16012057823c.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310341	EGAF00001682681	12a72dd1-adef-4dcb-a17d-feaddc75455c/analysis.12a72dd1-adef-4dcb-a17d-feaddc75455c.GNOS.xml.gz
EGAD00001003410	EGAZ00001310341	EGAF00001682679	12a72dd1-adef-4dcb-a17d-feaddc75455c/PCAWG.64684385-98ad-4adc-8245-16012057823c.STAR.v1.bam
EGAD00001003410	EGAZ00001310342	EGAF00001682683	23838ad3-e04c-4c53-a4ea-d7434fce9845/PCAWG.f49af213-a5cb-473e-b9ab-5c79ab3ee772.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310342	EGAF00001682684	23838ad3-e04c-4c53-a4ea-d7434fce9845/analysis.23838ad3-e04c-4c53-a4ea-d7434fce9845.GNOS.xml.gz
EGAD00001003410	EGAZ00001310342	EGAF00001682682	23838ad3-e04c-4c53-a4ea-d7434fce9845/PCAWG.f49af213-a5cb-473e-b9ab-5c79ab3ee772.STAR.v1.bam
EGAD00001003410	EGAZ00001310343	EGAF00001682687	2831600a-9b74-490c-9f5e-91b8f7966e04/analysis.2831600a-9b74-490c-9f5e-91b8f7966e04.GNOS.xml.gz
EGAD00001003410	EGAZ00001310343	EGAF00001682685	2831600a-9b74-490c-9f5e-91b8f7966e04/PCAWG.36f86099-2b19-45ea-b0bd-6167a9580a92.STAR.v1.bam
EGAD00001003410	EGAZ00001310343	EGAF00001682686	2831600a-9b74-490c-9f5e-91b8f7966e04/PCAWG.36f86099-2b19-45ea-b0bd-6167a9580a92.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310344	EGAF00001682688	2d38c047-533d-4807-9859-7394fe2358dc/PCAWG.351ab32d-02eb-4908-8c8a-b4aeb3a8cb69.STAR.v1.bam
EGAD00001003410	EGAZ00001310344	EGAF00001682689	2d38c047-533d-4807-9859-7394fe2358dc/PCAWG.351ab32d-02eb-4908-8c8a-b4aeb3a8cb69.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310344	EGAF00001682690	2d38c047-533d-4807-9859-7394fe2358dc/analysis.2d38c047-533d-4807-9859-7394fe2358dc.GNOS.xml.gz
EGAD00001003410	EGAZ00001310345	EGAF00001682693	2e0a0e26-d3b6-4708-a858-936dd2f0cf9a/analysis.2e0a0e26-d3b6-4708-a858-936dd2f0cf9a.GNOS.xml.gz
EGAD00001003410	EGAZ00001310345	EGAF00001682691	2e0a0e26-d3b6-4708-a858-936dd2f0cf9a/PCAWG.feb6bf42-30be-4b2a-bd32-06395898a21d.STAR.v1.bam
EGAD00001003410	EGAZ00001310345	EGAF00001682692	2e0a0e26-d3b6-4708-a858-936dd2f0cf9a/PCAWG.feb6bf42-30be-4b2a-bd32-06395898a21d.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310346	EGAF00001682696	2ea011d6-683c-4d06-be45-98b857b80bc5/analysis.2ea011d6-683c-4d06-be45-98b857b80bc5.GNOS.xml.gz
EGAD00001003410	EGAZ00001310346	EGAF00001682695	2ea011d6-683c-4d06-be45-98b857b80bc5/PCAWG.4738f813-7ee7-46c7-a285-d0d1fb4402b1.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310346	EGAF00001682694	2ea011d6-683c-4d06-be45-98b857b80bc5/PCAWG.4738f813-7ee7-46c7-a285-d0d1fb4402b1.STAR.v1.bam
EGAD00001003410	EGAZ00001310347	EGAF00001682697	3255ff49-0a30-4bd7-b08a-fce81c6f186e/PCAWG.923191ac-b291-408b-91d2-9ff1b0b4ef35.STAR.v1.bam
EGAD00001003410	EGAZ00001310347	EGAF00001682699	3255ff49-0a30-4bd7-b08a-fce81c6f186e/analysis.3255ff49-0a30-4bd7-b08a-fce81c6f186e.GNOS.xml.gz
EGAD00001003410	EGAZ00001310347	EGAF00001682698	3255ff49-0a30-4bd7-b08a-fce81c6f186e/PCAWG.923191ac-b291-408b-91d2-9ff1b0b4ef35.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310348	EGAF00001682700	32e59da8-1afa-486b-babd-65a48b25c87e/PCAWG.7dc8293b-a0d9-4459-848f-03f4ea549563.STAR.v1.bam
EGAD00001003410	EGAZ00001310348	EGAF00001682701	32e59da8-1afa-486b-babd-65a48b25c87e/PCAWG.7dc8293b-a0d9-4459-848f-03f4ea549563.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310348	EGAF00001682702	32e59da8-1afa-486b-babd-65a48b25c87e/analysis.32e59da8-1afa-486b-babd-65a48b25c87e.GNOS.xml.gz
EGAD00001003410	EGAZ00001310349	EGAF00001682705	375ef52b-ec60-4e9b-aa64-ef12d9710a1a/analysis.375ef52b-ec60-4e9b-aa64-ef12d9710a1a.GNOS.xml.gz
EGAD00001003410	EGAZ00001310349	EGAF00001682703	375ef52b-ec60-4e9b-aa64-ef12d9710a1a/PCAWG.aee33d10-8fa4-4a47-97ad-1c87813f7a38.STAR.v1.bam
EGAD00001003410	EGAZ00001310349	EGAF00001682704	375ef52b-ec60-4e9b-aa64-ef12d9710a1a/PCAWG.aee33d10-8fa4-4a47-97ad-1c87813f7a38.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310350	EGAF00001682708	3ba6d210-4953-43db-aad5-5388c51b8766/analysis.3ba6d210-4953-43db-aad5-5388c51b8766.GNOS.xml.gz
EGAD00001003410	EGAZ00001310350	EGAF00001682706	3ba6d210-4953-43db-aad5-5388c51b8766/PCAWG.8b2957af-3d3d-4466-830b-b02b62c12df9.STAR.v1.bam
EGAD00001003410	EGAZ00001310350	EGAF00001682707	3ba6d210-4953-43db-aad5-5388c51b8766/PCAWG.8b2957af-3d3d-4466-830b-b02b62c12df9.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310351	EGAF00001682709	3dabd19a-582f-4ac2-a362-1799e444ca86/PCAWG.1ab90bfe-c740-453e-b65b-ac75d65a1873.STAR.v1.bam
EGAD00001003410	EGAZ00001310351	EGAF00001682711	3dabd19a-582f-4ac2-a362-1799e444ca86/analysis.3dabd19a-582f-4ac2-a362-1799e444ca86.GNOS.xml.gz
EGAD00001003410	EGAZ00001310351	EGAF00001682710	3dabd19a-582f-4ac2-a362-1799e444ca86/PCAWG.1ab90bfe-c740-453e-b65b-ac75d65a1873.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310352	EGAF00001682712	3f273bae-32b0-4775-87ec-b4190828ad27/PCAWG.e128b420-7dbf-433a-be26-11a729f0ceb8.STAR.v1.bam
EGAD00001003410	EGAZ00001310352	EGAF00001682713	3f273bae-32b0-4775-87ec-b4190828ad27/PCAWG.e128b420-7dbf-433a-be26-11a729f0ceb8.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310352	EGAF00001682714	3f273bae-32b0-4775-87ec-b4190828ad27/analysis.3f273bae-32b0-4775-87ec-b4190828ad27.GNOS.xml.gz
EGAD00001003410	EGAZ00001310353	EGAF00001682716	3f9293b8-5fc9-4273-8cc7-8ed3d8f94228/PCAWG.e03743ed-526c-4f13-81f4-0f32faca2110.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310353	EGAF00001682715	3f9293b8-5fc9-4273-8cc7-8ed3d8f94228/PCAWG.e03743ed-526c-4f13-81f4-0f32faca2110.STAR.v1.bam
EGAD00001003410	EGAZ00001310353	EGAF00001682717	3f9293b8-5fc9-4273-8cc7-8ed3d8f94228/analysis.3f9293b8-5fc9-4273-8cc7-8ed3d8f94228.GNOS.xml.gz
EGAD00001003410	EGAZ00001310354	EGAF00001682718	3fbab19f-2568-4fce-8a91-4cc2556bd0a8/PCAWG.c380dc78-7df5-4f8b-ae2d-27bb301e3200.STAR.v1.bam
EGAD00001003410	EGAZ00001310354	EGAF00001682719	3fbab19f-2568-4fce-8a91-4cc2556bd0a8/PCAWG.c380dc78-7df5-4f8b-ae2d-27bb301e3200.STAR.v1.bam.bai
EGAD00001003410	EGAZ00001310354	EGAF00001682720	3fbab19f-2568-4fce-8a91-4cc2556bd0a8/analysis.3fbab19f-2568-4fce-8a91-4cc2556bd0a8.GNOS.xml.gz
EGAD00001003410	EGAZ00001310355	EGAF00001682723	4177b8b2-d8a0-4e92-a39d-1d91f409c24a/analysis.4177b8b2-d8a0-4e92-a39d-1d91f409c24a.GNOS.xml.gz
