dataset_id	analysis_id	file_id	file
EGAD00001003411	EGAZ00001310416	EGAF00001682906	011ccb21-237e-4c84-bd9d-6f709fd1a195/analysis.011ccb21-237e-4c84-bd9d-6f709fd1a195.GNOS.xml.gz
EGAD00001003411	EGAZ00001310416	EGAF00001682904	011ccb21-237e-4c84-bd9d-6f709fd1a195/PCAWG.f78a494c-99d1-40d4-8c85-de3c2cde810d.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310416	EGAF00001682905	011ccb21-237e-4c84-bd9d-6f709fd1a195/PCAWG.f78a494c-99d1-40d4-8c85-de3c2cde810d.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310417	EGAF00001682909	089d8da9-4514-457a-988c-f29fe443f5e6/analysis.089d8da9-4514-457a-988c-f29fe443f5e6.GNOS.xml.gz
EGAD00001003411	EGAZ00001310417	EGAF00001682907	089d8da9-4514-457a-988c-f29fe443f5e6/PCAWG.b4eb3102-d015-4112-a3f6-f5f754c7ee73.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310417	EGAF00001682908	089d8da9-4514-457a-988c-f29fe443f5e6/PCAWG.b4eb3102-d015-4112-a3f6-f5f754c7ee73.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310418	EGAF00001682910	0f550796-e4bf-4c55-b35b-00c11d0c36e2/PCAWG.319bd156-49a9-4341-a9f7-ca68b02d3ab2.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310418	EGAF00001682912	0f550796-e4bf-4c55-b35b-00c11d0c36e2/analysis.0f550796-e4bf-4c55-b35b-00c11d0c36e2.GNOS.xml.gz
EGAD00001003411	EGAZ00001310418	EGAF00001682911	0f550796-e4bf-4c55-b35b-00c11d0c36e2/PCAWG.319bd156-49a9-4341-a9f7-ca68b02d3ab2.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310419	EGAF00001682914	1201a7c9-c60b-44fd-ac65-9c33f7e0a92e/PCAWG.ebd944ea-71b7-49b2-915a-ae1c206780e5.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310419	EGAF00001682915	1201a7c9-c60b-44fd-ac65-9c33f7e0a92e/analysis.1201a7c9-c60b-44fd-ac65-9c33f7e0a92e.GNOS.xml.gz
EGAD00001003411	EGAZ00001310419	EGAF00001682913	1201a7c9-c60b-44fd-ac65-9c33f7e0a92e/PCAWG.ebd944ea-71b7-49b2-915a-ae1c206780e5.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310420	EGAF00001682918	13c75eae-3722-447f-ac97-13bc3d63c27a/analysis.13c75eae-3722-447f-ac97-13bc3d63c27a.GNOS.xml.gz
EGAD00001003411	EGAZ00001310420	EGAF00001682916	13c75eae-3722-447f-ac97-13bc3d63c27a/PCAWG.97f26bd5-19f6-45a6-a460-3d38f9e519fd.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310420	EGAF00001682917	13c75eae-3722-447f-ac97-13bc3d63c27a/PCAWG.97f26bd5-19f6-45a6-a460-3d38f9e519fd.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310421	EGAF00001682920	19244a9c-fa7a-4ba7-9c27-823226b04f87/PCAWG.4e2059a8-34e8-4642-b009-9cdf966d4873.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310421	EGAF00001682919	19244a9c-fa7a-4ba7-9c27-823226b04f87/PCAWG.4e2059a8-34e8-4642-b009-9cdf966d4873.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310421	EGAF00001682921	19244a9c-fa7a-4ba7-9c27-823226b04f87/analysis.19244a9c-fa7a-4ba7-9c27-823226b04f87.GNOS.xml.gz
EGAD00001003411	EGAZ00001310422	EGAF00001682924	1a380f4a-ccac-4656-be69-ef61d6d773b0/analysis.1a380f4a-ccac-4656-be69-ef61d6d773b0.GNOS.xml.gz
EGAD00001003411	EGAZ00001310422	EGAF00001682923	1a380f4a-ccac-4656-be69-ef61d6d773b0/PCAWG.a73687d4-1714-4814-9db3-5decb77e18b7.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310422	EGAF00001682922	1a380f4a-ccac-4656-be69-ef61d6d773b0/PCAWG.a73687d4-1714-4814-9db3-5decb77e18b7.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310423	EGAF00001682927	1b0e1083-fc2c-4cb4-9851-d6bad36403e1/analysis.1b0e1083-fc2c-4cb4-9851-d6bad36403e1.GNOS.xml.gz
EGAD00001003411	EGAZ00001310423	EGAF00001682925	1b0e1083-fc2c-4cb4-9851-d6bad36403e1/PCAWG.c67cc2cb-8261-4762-b33f-da593d7f1b1f.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310423	EGAF00001682926	1b0e1083-fc2c-4cb4-9851-d6bad36403e1/PCAWG.c67cc2cb-8261-4762-b33f-da593d7f1b1f.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310424	EGAF00001682929	1dc8b65b-713f-4d5c-ac68-e09b2327e23c/PCAWG.ecbaf190-2905-4799-b5fe-98f20c1bf586.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310424	EGAF00001682928	1dc8b65b-713f-4d5c-ac68-e09b2327e23c/PCAWG.ecbaf190-2905-4799-b5fe-98f20c1bf586.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310424	EGAF00001682930	1dc8b65b-713f-4d5c-ac68-e09b2327e23c/analysis.1dc8b65b-713f-4d5c-ac68-e09b2327e23c.GNOS.xml.gz
EGAD00001003411	EGAZ00001310425	EGAF00001682932	1faffb6f-97e6-40eb-bc3a-32d2ec610645/PCAWG.8e0862eb-73e2-42c0-b809-9510a888b931.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310425	EGAF00001682933	1faffb6f-97e6-40eb-bc3a-32d2ec610645/analysis.1faffb6f-97e6-40eb-bc3a-32d2ec610645.GNOS.xml.gz
EGAD00001003411	EGAZ00001310425	EGAF00001682931	1faffb6f-97e6-40eb-bc3a-32d2ec610645/PCAWG.8e0862eb-73e2-42c0-b809-9510a888b931.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310426	EGAF00001682936	201a6724-9122-433c-8214-a490d962c0d5/analysis.201a6724-9122-433c-8214-a490d962c0d5.GNOS.xml.gz
EGAD00001003411	EGAZ00001310426	EGAF00001682935	201a6724-9122-433c-8214-a490d962c0d5/PCAWG.bc4ff54b-03eb-43eb-bdb6-93cabd30e3cf.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310426	EGAF00001682934	201a6724-9122-433c-8214-a490d962c0d5/PCAWG.bc4ff54b-03eb-43eb-bdb6-93cabd30e3cf.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310427	EGAF00001682937	2382a1d3-0aee-4b72-a1fe-0b0c335e750c/PCAWG.4b894a49-b077-4de6-b9fa-de3a90b55769.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310427	EGAF00001682938	2382a1d3-0aee-4b72-a1fe-0b0c335e750c/PCAWG.4b894a49-b077-4de6-b9fa-de3a90b55769.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310427	EGAF00001682939	2382a1d3-0aee-4b72-a1fe-0b0c335e750c/analysis.2382a1d3-0aee-4b72-a1fe-0b0c335e750c.GNOS.xml.gz
EGAD00001003411	EGAZ00001310428	EGAF00001682941	23f3afb5-9dc3-4021-926a-adf6800b8a3b/PCAWG.9e9b2a57-97a0-4b5e-af48-3994868ec02e.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310428	EGAF00001682940	23f3afb5-9dc3-4021-926a-adf6800b8a3b/PCAWG.9e9b2a57-97a0-4b5e-af48-3994868ec02e.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310428	EGAF00001682942	23f3afb5-9dc3-4021-926a-adf6800b8a3b/analysis.23f3afb5-9dc3-4021-926a-adf6800b8a3b.GNOS.xml.gz
EGAD00001003411	EGAZ00001310429	EGAF00001682943	2718e269-66cb-4c8a-aba7-a6f0d071f01a/PCAWG.7dc8293b-a0d9-4459-848f-03f4ea549563.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310429	EGAF00001682944	2718e269-66cb-4c8a-aba7-a6f0d071f01a/PCAWG.7dc8293b-a0d9-4459-848f-03f4ea549563.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310429	EGAF00001682945	2718e269-66cb-4c8a-aba7-a6f0d071f01a/analysis.2718e269-66cb-4c8a-aba7-a6f0d071f01a.GNOS.xml.gz
EGAD00001003411	EGAZ00001310430	EGAF00001682947	2e9d0b34-1256-4e44-b35f-8e66161dea83/PCAWG.b112f618-c81a-4639-b24a-6521ee527d31.TopHat2.v1.bam.bai
EGAD00001003411	EGAZ00001310430	EGAF00001682946	2e9d0b34-1256-4e44-b35f-8e66161dea83/PCAWG.b112f618-c81a-4639-b24a-6521ee527d31.TopHat2.v1.bam
EGAD00001003411	EGAZ00001310430	EGAF00001682948	2e9d0b34-1256-4e44-b35f-8e66161dea83/analysis.2e9d0b34-1256-4e44-b35f-8e66161dea83.GNOS.xml.gz
