dataset_id	analysis_id	file_id	file
EGAD00001003162	EGAZ00001223789	EGAF00001130538	4004b67c-50e1-4cbe-8211-3b303ef09515/004b2f1b0f0a8094117af11ab2d85d1a.bam.bai
EGAD00001003162	EGAZ00001223789	EGAF00001130537	4004b67c-50e1-4cbe-8211-3b303ef09515/004b2f1b0f0a8094117af11ab2d85d1a.bam
EGAD00001003162	EGAZ00001223789	EGAF00001130539	4004b67c-50e1-4cbe-8211-3b303ef09515/analysis.4004b67c-50e1-4cbe-8211-3b303ef09515.GNOS.xml.gz
EGAD00001003162	EGAZ00001223791	EGAF00001130540	42944f65-e365-4d73-b5cf-42171fcc7814/8d522569f563d1bcbfed83908dc11c11.bam
EGAD00001003162	EGAZ00001223791	EGAF00001130542	42944f65-e365-4d73-b5cf-42171fcc7814/analysis.42944f65-e365-4d73-b5cf-42171fcc7814.GNOS.xml.gz
EGAD00001003162	EGAZ00001223791	EGAF00001130541	42944f65-e365-4d73-b5cf-42171fcc7814/8d522569f563d1bcbfed83908dc11c11.bam.bai
EGAD00001003162	EGAZ00001223793	EGAF00001130544	45d2c2be-7b87-4829-a5d6-70df6c7f6426/44dac7e3d6b13481c49b554cebdc10b8.bam.bai
EGAD00001003162	EGAZ00001223793	EGAF00001130543	45d2c2be-7b87-4829-a5d6-70df6c7f6426/44dac7e3d6b13481c49b554cebdc10b8.bam
EGAD00001003162	EGAZ00001223793	EGAF00001130545	45d2c2be-7b87-4829-a5d6-70df6c7f6426/analysis.45d2c2be-7b87-4829-a5d6-70df6c7f6426.GNOS.xml.gz
EGAD00001003162	EGAZ00001223795	EGAF00001130546	46430923-ea90-4b26-a141-3759d120157e/a9e615c661f2a63393d2e63e66f50cb5.bam
EGAD00001003162	EGAZ00001223795	EGAF00001130547	46430923-ea90-4b26-a141-3759d120157e/a9e615c661f2a63393d2e63e66f50cb5.bam.bai
EGAD00001003162	EGAZ00001223795	EGAF00001130548	46430923-ea90-4b26-a141-3759d120157e/analysis.46430923-ea90-4b26-a141-3759d120157e.GNOS.xml.gz
EGAD00001003162	EGAZ00001223796	EGAF00001145988	47e14c7d-ba6d-4c4e-8f90-1354c392306e/b918429539f01e59ceffc184eda7f6b1.bam.bai
EGAD00001003162	EGAZ00001223796	EGAF00001145987	47e14c7d-ba6d-4c4e-8f90-1354c392306e/b918429539f01e59ceffc184eda7f6b1.bam
EGAD00001003162	EGAZ00001223796	EGAF00001145989	47e14c7d-ba6d-4c4e-8f90-1354c392306e/analysis.47e14c7d-ba6d-4c4e-8f90-1354c392306e.GNOS.xml.gz
EGAD00001003162	EGAZ00001223801	EGAF00001130557	4bd3c71e-a2e7-4ea8-b932-2986a955b6e2/analysis.4bd3c71e-a2e7-4ea8-b932-2986a955b6e2.GNOS.xml.gz
EGAD00001003162	EGAZ00001223801	EGAF00001130555	4bd3c71e-a2e7-4ea8-b932-2986a955b6e2/cb1996006cec42e2dca6521ff38f1e84.bam
EGAD00001003162	EGAZ00001223801	EGAF00001130556	4bd3c71e-a2e7-4ea8-b932-2986a955b6e2/cb1996006cec42e2dca6521ff38f1e84.bam.bai
EGAD00001003162	EGAZ00001223802	EGAF00001146543	4bf7c6ee-ccdf-4713-8fd8-291821eb9922/024e642ad7c001b222e1d7223ed22fc8.bam.bai
EGAD00001003162	EGAZ00001223802	EGAF00001146542	4bf7c6ee-ccdf-4713-8fd8-291821eb9922/024e642ad7c001b222e1d7223ed22fc8.bam
EGAD00001003162	EGAZ00001223802	EGAF00001146544	4bf7c6ee-ccdf-4713-8fd8-291821eb9922/analysis.4bf7c6ee-ccdf-4713-8fd8-291821eb9922.GNOS.xml.gz
EGAD00001003162	EGAZ00001223804	EGAF00001146123	4d5918a4-4d79-48aa-8237-3c917ef03b95/analysis.4d5918a4-4d79-48aa-8237-3c917ef03b95.GNOS.xml.gz
EGAD00001003162	EGAZ00001223804	EGAF00001146121	4d5918a4-4d79-48aa-8237-3c917ef03b95/acfd1672fc135314e9d663cdabb3efbe.bam
EGAD00001003162	EGAZ00001223804	EGAF00001146122	4d5918a4-4d79-48aa-8237-3c917ef03b95/acfd1672fc135314e9d663cdabb3efbe.bam.bai
EGAD00001003162	EGAZ00001223806	EGAF00001144788	4ea7249e-e852-438e-95e1-7442e42e0741/208f7fa9dc372e95b97d1312b2d96cda.bam.bai
EGAD00001003162	EGAZ00001223806	EGAF00001144789	4ea7249e-e852-438e-95e1-7442e42e0741/analysis.4ea7249e-e852-438e-95e1-7442e42e0741.GNOS.xml.gz
EGAD00001003162	EGAZ00001223806	EGAF00001144787	4ea7249e-e852-438e-95e1-7442e42e0741/208f7fa9dc372e95b97d1312b2d96cda.bam
EGAD00001003162	EGAZ00001223809	EGAF00001130587	50af0296-99e5-403b-9b41-439479d158b0/analysis.50af0296-99e5-403b-9b41-439479d158b0.GNOS.xml.gz
EGAD00001003162	EGAZ00001223809	EGAF00001130585	50af0296-99e5-403b-9b41-439479d158b0/5c001095a952c71f7f7a680aa6f6d1d7.bam
EGAD00001003162	EGAZ00001223809	EGAF00001130586	50af0296-99e5-403b-9b41-439479d158b0/5c001095a952c71f7f7a680aa6f6d1d7.bam.bai
EGAD00001003162	EGAZ00001223810	EGAF00001144791	50dc9e65-abc4-45fe-85ce-7a290fdae519/53842d65d4c004fdbf0eec0b51927082.bam.bai
EGAD00001003162	EGAZ00001223810	EGAF00001144790	50dc9e65-abc4-45fe-85ce-7a290fdae519/53842d65d4c004fdbf0eec0b51927082.bam
EGAD00001003162	EGAZ00001223810	EGAF00001144792	50dc9e65-abc4-45fe-85ce-7a290fdae519/analysis.50dc9e65-abc4-45fe-85ce-7a290fdae519.GNOS.xml.gz
EGAD00001003162	EGAZ00001223811	EGAF00001130589	54beeb57-e18e-49de-a49b-b8dc2ac91088/fdac6eb702b99c391c092e25c35ea594.bam.bai
EGAD00001003162	EGAZ00001223811	EGAF00001130588	54beeb57-e18e-49de-a49b-b8dc2ac91088/fdac6eb702b99c391c092e25c35ea594.bam
EGAD00001003162	EGAZ00001223811	EGAF00001130590	54beeb57-e18e-49de-a49b-b8dc2ac91088/analysis.54beeb57-e18e-49de-a49b-b8dc2ac91088.GNOS.xml.gz
EGAD00001003162	EGAZ00001223812	EGAF00001144795	59269b1c-5610-4e96-8ca7-be0d1b2c84e3/analysis.59269b1c-5610-4e96-8ca7-be0d1b2c84e3.GNOS.xml.gz
