dataset_id	analysis_id	file_id	file
EGAD00001003558	EGAZ00001312541	EGAF00001723180	01a50653-7574-431a-be4b-1d175da22d2f/PCAWG.f5410668-dd3c-11e4-a82c-0324c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312541	EGAF00001723181	01a50653-7574-431a-be4b-1d175da22d2f/PCAWG.f5410668-dd3c-11e4-a82c-0324c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312541	EGAF00001723182	01a50653-7574-431a-be4b-1d175da22d2f/analysis.01a50653-7574-431a-be4b-1d175da22d2f.GNOS.xml.gz
EGAD00001003558	EGAZ00001312542	EGAF00001723183	02b2b029-ca9b-4e4d-acd8-952de8051d24/PCAWG.b73485ac-dd41-11e4-a1fc-2053c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312542	EGAF00001723185	02b2b029-ca9b-4e4d-acd8-952de8051d24/analysis.02b2b029-ca9b-4e4d-acd8-952de8051d24.GNOS.xml.gz
EGAD00001003558	EGAZ00001312542	EGAF00001723184	02b2b029-ca9b-4e4d-acd8-952de8051d24/PCAWG.b73485ac-dd41-11e4-a1fc-2053c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312543	EGAF00001723187	02b580ea-bc80-4bac-9fe8-cc6d2971026d/PCAWG.e423ab9a-dd39-11e4-bf6e-a5ccc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312543	EGAF00001723188	02b580ea-bc80-4bac-9fe8-cc6d2971026d/analysis.02b580ea-bc80-4bac-9fe8-cc6d2971026d.GNOS.xml.gz
EGAD00001003558	EGAZ00001312543	EGAF00001723186	02b580ea-bc80-4bac-9fe8-cc6d2971026d/PCAWG.e423ab9a-dd39-11e4-bf6e-a5ccc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312544	EGAF00001723189	02e0b0d5-4577-4abb-be3e-c835c60f3a7f/PCAWG.695a84b2-dd37-11e4-bb2a-2aa6c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312544	EGAF00001723190	02e0b0d5-4577-4abb-be3e-c835c60f3a7f/PCAWG.695a84b2-dd37-11e4-bb2a-2aa6c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312544	EGAF00001723191	02e0b0d5-4577-4abb-be3e-c835c60f3a7f/analysis.02e0b0d5-4577-4abb-be3e-c835c60f3a7f.GNOS.xml.gz
EGAD00001003558	EGAZ00001312545	EGAF00001723193	06cce63b-136a-49d2-88ae-5f90e97fc1f2/PCAWG.237e750e-dd35-11e4-8253-9885c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312545	EGAF00001723192	06cce63b-136a-49d2-88ae-5f90e97fc1f2/PCAWG.237e750e-dd35-11e4-8253-9885c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312545	EGAF00001723194	06cce63b-136a-49d2-88ae-5f90e97fc1f2/analysis.06cce63b-136a-49d2-88ae-5f90e97fc1f2.GNOS.xml.gz
EGAD00001003558	EGAZ00001312546	EGAF00001723196	07bb44c7-6357-4f12-a913-ab08e7a13996/PCAWG.9104f3e0-dd31-11e4-bec9-d293c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312546	EGAF00001723195	07bb44c7-6357-4f12-a913-ab08e7a13996/PCAWG.9104f3e0-dd31-11e4-bec9-d293c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312546	EGAF00001723197	07bb44c7-6357-4f12-a913-ab08e7a13996/analysis.07bb44c7-6357-4f12-a913-ab08e7a13996.GNOS.xml.gz
EGAD00001003558	EGAZ00001312547	EGAF00001723199	0805a757-b11b-44ca-8054-93ddce770cff/PCAWG.4f86b36c-dd3c-11e4-903e-879fc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312547	EGAF00001723198	0805a757-b11b-44ca-8054-93ddce770cff/PCAWG.4f86b36c-dd3c-11e4-903e-879fc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312547	EGAF00001723200	0805a757-b11b-44ca-8054-93ddce770cff/analysis.0805a757-b11b-44ca-8054-93ddce770cff.GNOS.xml.gz
EGAD00001003558	EGAZ00001312548	EGAF00001723203	0cd8ccc8-5380-4cb9-a161-9137726e38ae/analysis.0cd8ccc8-5380-4cb9-a161-9137726e38ae.GNOS.xml.gz
EGAD00001003558	EGAZ00001312548	EGAF00001723202	0cd8ccc8-5380-4cb9-a161-9137726e38ae/PCAWG.b667a400-dd38-11e4-b441-e4b8c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312548	EGAF00001723201	0cd8ccc8-5380-4cb9-a161-9137726e38ae/PCAWG.b667a400-dd38-11e4-b441-e4b8c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312549	EGAF00001723204	120ec05e-fad9-402a-b91a-b445bb9685d6/PCAWG.edc5da14-dd30-11e4-802c-d583c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312549	EGAF00001723205	120ec05e-fad9-402a-b91a-b445bb9685d6/PCAWG.edc5da14-dd30-11e4-802c-d583c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312549	EGAF00001723206	120ec05e-fad9-402a-b91a-b445bb9685d6/analysis.120ec05e-fad9-402a-b91a-b445bb9685d6.GNOS.xml.gz
EGAD00001003558	EGAZ00001312550	EGAF00001723208	15489778-1182-43a9-b44f-e43f49924670/PCAWG.d43ed88c-dd41-11e4-9fc0-ad43c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312550	EGAF00001723207	15489778-1182-43a9-b44f-e43f49924670/PCAWG.d43ed88c-dd41-11e4-9fc0-ad43c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312550	EGAF00001723209	15489778-1182-43a9-b44f-e43f49924670/analysis.15489778-1182-43a9-b44f-e43f49924670.GNOS.xml.gz
EGAD00001003558	EGAZ00001312551	EGAF00001723211	162f7fcb-2a9d-4a57-8126-e821c1a683c7/PCAWG.82612382-dd35-11e4-9923-5b8ac254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312551	EGAF00001723210	162f7fcb-2a9d-4a57-8126-e821c1a683c7/PCAWG.82612382-dd35-11e4-9923-5b8ac254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312551	EGAF00001723212	162f7fcb-2a9d-4a57-8126-e821c1a683c7/analysis.162f7fcb-2a9d-4a57-8126-e821c1a683c7.GNOS.xml.gz
EGAD00001003558	EGAZ00001312552	EGAF00001723214	185d692b-f315-4b17-8981-5f9b939fc01d/PCAWG.125737ba-dd31-11e4-89b6-1786c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312552	EGAF00001723215	185d692b-f315-4b17-8981-5f9b939fc01d/analysis.185d692b-f315-4b17-8981-5f9b939fc01d.GNOS.xml.gz
EGAD00001003558	EGAZ00001312552	EGAF00001723213	185d692b-f315-4b17-8981-5f9b939fc01d/PCAWG.125737ba-dd31-11e4-89b6-1786c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312553	EGAF00001723218	194135fe-be17-46d0-9149-18726715336e/analysis.194135fe-be17-46d0-9149-18726715336e.GNOS.xml.gz
EGAD00001003558	EGAZ00001312553	EGAF00001723217	194135fe-be17-46d0-9149-18726715336e/PCAWG.10b8cc9c-dd37-11e4-a9f2-a4a0c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312553	EGAF00001723216	194135fe-be17-46d0-9149-18726715336e/PCAWG.10b8cc9c-dd37-11e4-a9f2-a4a0c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312554	EGAF00001723221	1a91ef7e-dba8-49d1-8874-28593bec709c/analysis.1a91ef7e-dba8-49d1-8874-28593bec709c.GNOS.xml.gz
EGAD00001003558	EGAZ00001312554	EGAF00001723220	1a91ef7e-dba8-49d1-8874-28593bec709c/PCAWG.b7dd85b0-dd43-11e4-b5dc-6576c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312554	EGAF00001723219	1a91ef7e-dba8-49d1-8874-28593bec709c/PCAWG.b7dd85b0-dd43-11e4-b5dc-6576c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312555	EGAF00001723224	1ae6916f-64ce-4867-a088-d064ecc72be4/analysis.1ae6916f-64ce-4867-a088-d064ecc72be4.GNOS.xml.gz
EGAD00001003558	EGAZ00001312555	EGAF00001723223	1ae6916f-64ce-4867-a088-d064ecc72be4/PCAWG.480ae108-dd37-11e4-8061-88a4c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312555	EGAF00001723222	1ae6916f-64ce-4867-a088-d064ecc72be4/PCAWG.480ae108-dd37-11e4-8061-88a4c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312556	EGAF00001723225	1b02b61a-0f84-4e78-b656-431fdaecf4e1/PCAWG.eb48b638-dd37-11e4-860a-a0adc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312556	EGAF00001723227	1b02b61a-0f84-4e78-b656-431fdaecf4e1/analysis.1b02b61a-0f84-4e78-b656-431fdaecf4e1.GNOS.xml.gz
EGAD00001003558	EGAZ00001312556	EGAF00001723226	1b02b61a-0f84-4e78-b656-431fdaecf4e1/PCAWG.eb48b638-dd37-11e4-860a-a0adc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312557	EGAF00001723228	1f77771f-e587-48b7-8db0-aa6b2d89427f/PCAWG.30e90a96-dd31-11e4-856d-ad87c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312557	EGAF00001723230	1f77771f-e587-48b7-8db0-aa6b2d89427f/analysis.1f77771f-e587-48b7-8db0-aa6b2d89427f.GNOS.xml.gz
EGAD00001003558	EGAZ00001312557	EGAF00001723229	1f77771f-e587-48b7-8db0-aa6b2d89427f/PCAWG.30e90a96-dd31-11e4-856d-ad87c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312558	EGAF00001723232	20c82f13-a27c-45a1-b6fe-806b19cb1940/PCAWG.b9bf94f6-dd37-11e4-971f-fdaac254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312558	EGAF00001723233	20c82f13-a27c-45a1-b6fe-806b19cb1940/analysis.20c82f13-a27c-45a1-b6fe-806b19cb1940.GNOS.xml.gz
EGAD00001003558	EGAZ00001312558	EGAF00001723231	20c82f13-a27c-45a1-b6fe-806b19cb1940/PCAWG.b9bf94f6-dd37-11e4-971f-fdaac254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312559	EGAF00001723236	23331990-d06e-4010-bf0a-3ff8c74cc03c/analysis.23331990-d06e-4010-bf0a-3ff8c74cc03c.GNOS.xml.gz
EGAD00001003558	EGAZ00001312559	EGAF00001723235	23331990-d06e-4010-bf0a-3ff8c74cc03c/PCAWG.3d92b40e-dd45-11e4-9303-a2f8c154ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312559	EGAF00001723234	23331990-d06e-4010-bf0a-3ff8c74cc03c/PCAWG.3d92b40e-dd45-11e4-9303-a2f8c154ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312560	EGAF00001723239	252e8a88-7541-4055-a907-61e66aaa0ed2/analysis.252e8a88-7541-4055-a907-61e66aaa0ed2.GNOS.xml.gz
EGAD00001003558	EGAZ00001312560	EGAF00001723237	252e8a88-7541-4055-a907-61e66aaa0ed2/PCAWG.b739fca4-dd36-11e4-bdd3-639cc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312560	EGAF00001723238	252e8a88-7541-4055-a907-61e66aaa0ed2/PCAWG.b739fca4-dd36-11e4-bdd3-639cc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312561	EGAF00001723242	257ac017-892d-444d-bc40-1e0d4ed7330c/analysis.257ac017-892d-444d-bc40-1e0d4ed7330c.GNOS.xml.gz
EGAD00001003558	EGAZ00001312561	EGAF00001723241	257ac017-892d-444d-bc40-1e0d4ed7330c/PCAWG.7b4ad790-dd45-11e4-a8fb-4404c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312561	EGAF00001723240	257ac017-892d-444d-bc40-1e0d4ed7330c/PCAWG.7b4ad790-dd45-11e4-a8fb-4404c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312562	EGAF00001723243	25a05dbd-c852-4923-845d-5da240ad0729/PCAWG.8c9d65a2-dd32-11e4-b8fb-c1b4c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312562	EGAF00001723244	25a05dbd-c852-4923-845d-5da240ad0729/PCAWG.8c9d65a2-dd32-11e4-b8fb-c1b4c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312562	EGAF00001723245	25a05dbd-c852-4923-845d-5da240ad0729/analysis.25a05dbd-c852-4923-845d-5da240ad0729.GNOS.xml.gz
EGAD00001003558	EGAZ00001312563	EGAF00001723246	29a2dd09-2684-42dd-b687-3293de3e0da9/PCAWG.488551fa-dd3b-11e4-92d0-56e5c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312563	EGAF00001723248	29a2dd09-2684-42dd-b687-3293de3e0da9/analysis.29a2dd09-2684-42dd-b687-3293de3e0da9.GNOS.xml.gz
EGAD00001003558	EGAZ00001312563	EGAF00001723247	29a2dd09-2684-42dd-b687-3293de3e0da9/PCAWG.488551fa-dd3b-11e4-92d0-56e5c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312565	EGAF00001723252	2abb676c-a89d-456f-814a-0c035dfd3c44/PCAWG.bddb49d8-dd35-11e4-8a0b-c68dc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312565	EGAF00001723254	2abb676c-a89d-456f-814a-0c035dfd3c44/analysis.2abb676c-a89d-456f-814a-0c035dfd3c44.GNOS.xml.gz
EGAD00001003558	EGAZ00001312565	EGAF00001723253	2abb676c-a89d-456f-814a-0c035dfd3c44/PCAWG.bddb49d8-dd35-11e4-8a0b-c68dc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312567	EGAF00001723260	2ae21724-9065-44c2-b0bd-00e4b0629a8b/analysis.2ae21724-9065-44c2-b0bd-00e4b0629a8b.GNOS.xml.gz
EGAD00001003558	EGAZ00001312567	EGAF00001723259	2ae21724-9065-44c2-b0bd-00e4b0629a8b/PCAWG.8631d5c8-dd36-11e4-b9d1-4999c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312567	EGAF00001723258	2ae21724-9065-44c2-b0bd-00e4b0629a8b/PCAWG.8631d5c8-dd36-11e4-b9d1-4999c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312569	EGAF00001723264	2b2a2057-be08-4ee7-9933-13bf8dc4cbd4/PCAWG.f98658a6-dd30-11e4-a293-9384c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312569	EGAF00001723265	2b2a2057-be08-4ee7-9933-13bf8dc4cbd4/PCAWG.f98658a6-dd30-11e4-a293-9384c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312569	EGAF00001723266	2b2a2057-be08-4ee7-9933-13bf8dc4cbd4/analysis.2b2a2057-be08-4ee7-9933-13bf8dc4cbd4.GNOS.xml.gz
EGAD00001003558	EGAZ00001312571	EGAF00001723271	2b755d3b-3b87-48c3-9b8d-e42ef30f11ed/PCAWG.02f756c2-dd33-11e4-ba49-b4bec254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312571	EGAF00001723272	2b755d3b-3b87-48c3-9b8d-e42ef30f11ed/analysis.2b755d3b-3b87-48c3-9b8d-e42ef30f11ed.GNOS.xml.gz
EGAD00001003558	EGAZ00001312571	EGAF00001723270	2b755d3b-3b87-48c3-9b8d-e42ef30f11ed/PCAWG.02f756c2-dd33-11e4-ba49-b4bec254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312573	EGAF00001723276	331ce71c-f4e8-45c8-8b00-dbbd10b6ccfc/PCAWG.70e5d8d2-dd3f-11e4-a5a5-3a48c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312573	EGAF00001723277	331ce71c-f4e8-45c8-8b00-dbbd10b6ccfc/PCAWG.70e5d8d2-dd3f-11e4-a5a5-3a48c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312573	EGAF00001723278	331ce71c-f4e8-45c8-8b00-dbbd10b6ccfc/analysis.331ce71c-f4e8-45c8-8b00-dbbd10b6ccfc.GNOS.xml.gz
EGAD00001003558	EGAZ00001312575	EGAF00001723282	39934ad2-2d8f-47d7-bec1-1fb793ab5726/PCAWG.f1592852-dd35-11e4-86fb-ab90c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312575	EGAF00001723283	39934ad2-2d8f-47d7-bec1-1fb793ab5726/PCAWG.f1592852-dd35-11e4-86fb-ab90c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312575	EGAF00001723284	39934ad2-2d8f-47d7-bec1-1fb793ab5726/analysis.39934ad2-2d8f-47d7-bec1-1fb793ab5726.GNOS.xml.gz
EGAD00001003558	EGAZ00001312577	EGAF00001723290	3cad7c97-e7dc-4925-abf1-d233273cd46c/analysis.3cad7c97-e7dc-4925-abf1-d233273cd46c.GNOS.xml.gz
EGAD00001003558	EGAZ00001312577	EGAF00001723289	3cad7c97-e7dc-4925-abf1-d233273cd46c/PCAWG.0c1e8a2c-dd38-11e4-aef9-76afc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312577	EGAF00001723288	3cad7c97-e7dc-4925-abf1-d233273cd46c/PCAWG.0c1e8a2c-dd38-11e4-aef9-76afc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312579	EGAF00001723295	3e69ef23-550b-4b35-851a-18da774cd83f/PCAWG.9e6e8eb4-dd3c-11e4-b28a-39d4c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312579	EGAF00001723296	3e69ef23-550b-4b35-851a-18da774cd83f/analysis.3e69ef23-550b-4b35-851a-18da774cd83f.GNOS.xml.gz
EGAD00001003558	EGAZ00001312579	EGAF00001723294	3e69ef23-550b-4b35-851a-18da774cd83f/PCAWG.9e6e8eb4-dd3c-11e4-b28a-39d4c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312581	EGAF00001723300	3e8eb01c-17f4-47a8-bb4e-e55bccbb70e9/PCAWG.42ccd9ba-dd34-11e4-9779-7278c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312581	EGAF00001723301	3e8eb01c-17f4-47a8-bb4e-e55bccbb70e9/PCAWG.42ccd9ba-dd34-11e4-9779-7278c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312581	EGAF00001723302	3e8eb01c-17f4-47a8-bb4e-e55bccbb70e9/analysis.3e8eb01c-17f4-47a8-bb4e-e55bccbb70e9.GNOS.xml.gz
EGAD00001003558	EGAZ00001312583	EGAF00001723306	402d4eda-b5c1-4d60-ace0-bccadc661519/PCAWG.242bb83a-dd3b-11e4-9b69-2be3c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312583	EGAF00001723307	402d4eda-b5c1-4d60-ace0-bccadc661519/PCAWG.242bb83a-dd3b-11e4-9b69-2be3c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312583	EGAF00001723308	402d4eda-b5c1-4d60-ace0-bccadc661519/analysis.402d4eda-b5c1-4d60-ace0-bccadc661519.GNOS.xml.gz
EGAD00001003558	EGAZ00001312585	EGAF00001723314	420ed47c-d4de-44ef-8af8-b724eb50b0fc/analysis.420ed47c-d4de-44ef-8af8-b724eb50b0fc.GNOS.xml.gz
EGAD00001003558	EGAZ00001312585	EGAF00001723312	420ed47c-d4de-44ef-8af8-b724eb50b0fc/PCAWG.5c778b04-dd3d-11e4-9aa6-fd29c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312585	EGAF00001723313	420ed47c-d4de-44ef-8af8-b724eb50b0fc/PCAWG.5c778b04-dd3d-11e4-9aa6-fd29c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312587	EGAF00001723320	428af08f-592d-4303-a41b-2247c41721c2/analysis.428af08f-592d-4303-a41b-2247c41721c2.GNOS.xml.gz
EGAD00001003558	EGAZ00001312587	EGAF00001723319	428af08f-592d-4303-a41b-2247c41721c2/PCAWG.2e3c96c2-dd3c-11e4-83c5-0de4c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312587	EGAF00001723318	428af08f-592d-4303-a41b-2247c41721c2/PCAWG.2e3c96c2-dd3c-11e4-83c5-0de4c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312589	EGAF00001723325	4376cb86-4371-46f7-a202-ebe77de2065f/PCAWG.db9a449c-dd30-11e4-9114-8082c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312589	EGAF00001723324	4376cb86-4371-46f7-a202-ebe77de2065f/PCAWG.db9a449c-dd30-11e4-9114-8082c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312589	EGAF00001723326	4376cb86-4371-46f7-a202-ebe77de2065f/analysis.4376cb86-4371-46f7-a202-ebe77de2065f.GNOS.xml.gz
EGAD00001003558	EGAZ00001312591	EGAF00001723330	499bd166-ee10-40dc-9064-830dc8df5b30/PCAWG.3f002856-dd38-11e4-951f-29b2c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312591	EGAF00001723331	499bd166-ee10-40dc-9064-830dc8df5b30/PCAWG.3f002856-dd38-11e4-951f-29b2c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312591	EGAF00001723332	499bd166-ee10-40dc-9064-830dc8df5b30/analysis.499bd166-ee10-40dc-9064-830dc8df5b30.GNOS.xml.gz
EGAD00001003558	EGAZ00001312593	EGAF00001723336	4d516f18-1d19-47ee-b351-cbca5683d9e2/PCAWG.764a33dc-dd34-11e4-8a0c-117cc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312593	EGAF00001723337	4d516f18-1d19-47ee-b351-cbca5683d9e2/PCAWG.764a33dc-dd34-11e4-8a0c-117cc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312593	EGAF00001723338	4d516f18-1d19-47ee-b351-cbca5683d9e2/analysis.4d516f18-1d19-47ee-b351-cbca5683d9e2.GNOS.xml.gz
EGAD00001003558	EGAZ00001312595	EGAF00001723344	4d6781b9-b0e0-483f-a82b-639a038d9c92/analysis.4d6781b9-b0e0-483f-a82b-639a038d9c92.GNOS.xml.gz
EGAD00001003558	EGAZ00001312595	EGAF00001723342	4d6781b9-b0e0-483f-a82b-639a038d9c92/PCAWG.e096370e-dd34-11e4-8386-dc81c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312595	EGAF00001723343	4d6781b9-b0e0-483f-a82b-639a038d9c92/PCAWG.e096370e-dd34-11e4-8386-dc81c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312598	EGAF00001723352	4d8218cd-0bbe-4b99-8408-877fc64bb822/PCAWG.a40fd4d4-dd39-11e4-b774-e8c5c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312598	EGAF00001723351	4d8218cd-0bbe-4b99-8408-877fc64bb822/PCAWG.a40fd4d4-dd39-11e4-b774-e8c5c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312598	EGAF00001723353	4d8218cd-0bbe-4b99-8408-877fc64bb822/analysis.4d8218cd-0bbe-4b99-8408-877fc64bb822.GNOS.xml.gz
EGAD00001003558	EGAZ00001312599	EGAF00001723354	51f11adc-56dc-4aba-bcbc-0afc08bb2143/PCAWG.4cf1f35a-dd32-11e4-ba86-a69fc254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312599	EGAF00001723356	51f11adc-56dc-4aba-bcbc-0afc08bb2143/analysis.51f11adc-56dc-4aba-bcbc-0afc08bb2143.GNOS.xml.gz
EGAD00001003558	EGAZ00001312599	EGAF00001723355	51f11adc-56dc-4aba-bcbc-0afc08bb2143/PCAWG.4cf1f35a-dd32-11e4-ba86-a69fc254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312601	EGAF00001723361	5872d4f4-fd00-46bd-baaf-58406fef4a0a/PCAWG.24f4ba02-dd3e-11e4-ac5c-e235c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312601	EGAF00001723360	5872d4f4-fd00-46bd-baaf-58406fef4a0a/PCAWG.24f4ba02-dd3e-11e4-ac5c-e235c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312601	EGAF00001723362	5872d4f4-fd00-46bd-baaf-58406fef4a0a/analysis.5872d4f4-fd00-46bd-baaf-58406fef4a0a.GNOS.xml.gz
EGAD00001003558	EGAZ00001312604	EGAF00001723370	5a4b937a-88e4-4755-b81a-cdc71b04fabc/PCAWG.3eec6dce-dd39-11e4-aeeb-85c0c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312604	EGAF00001723369	5a4b937a-88e4-4755-b81a-cdc71b04fabc/PCAWG.3eec6dce-dd39-11e4-aeeb-85c0c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312604	EGAF00001723371	5a4b937a-88e4-4755-b81a-cdc71b04fabc/analysis.5a4b937a-88e4-4755-b81a-cdc71b04fabc.GNOS.xml.gz
EGAD00001003558	EGAZ00001312606	EGAF00001723377	5a809738-c798-4d79-9b53-b539385b3740/analysis.5a809738-c798-4d79-9b53-b539385b3740.GNOS.xml.gz
EGAD00001003558	EGAZ00001312606	EGAF00001723376	5a809738-c798-4d79-9b53-b539385b3740/PCAWG.4f2ea678-dd36-11e4-9275-1f96c254ba06.STAR.v1.bam.bai
EGAD00001003558	EGAZ00001312606	EGAF00001723375	5a809738-c798-4d79-9b53-b539385b3740/PCAWG.4f2ea678-dd36-11e4-9275-1f96c254ba06.STAR.v1.bam
EGAD00001003558	EGAZ00001312608	EGAF00001723379	620be15b-7a39-4b81-99e4-d8d0c27b2593/PCAWG.5450eefe-dd31-11e4-a095-c18ac254ba06.STAR.v1.bam.bai
