dataset_id	analysis_id	file_id	file
EGAD00001003559	EGAZ00001312564	EGAF00001723249	00ce28a8-26ed-4bb3-81c6-5df099e9fef4/PCAWG.fea0bed0-dd3a-11e4-a09d-2be1c254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312564	EGAF00001723251	00ce28a8-26ed-4bb3-81c6-5df099e9fef4/analysis.00ce28a8-26ed-4bb3-81c6-5df099e9fef4.GNOS.xml.gz
EGAD00001003559	EGAZ00001312564	EGAF00001723250	00ce28a8-26ed-4bb3-81c6-5df099e9fef4/PCAWG.fea0bed0-dd3a-11e4-a09d-2be1c254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312566	EGAF00001723256	013e788d-b342-4f4f-9e1f-a83b3b593eb3/PCAWG.3eec6dce-dd39-11e4-aeeb-85c0c254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312566	EGAF00001723257	013e788d-b342-4f4f-9e1f-a83b3b593eb3/analysis.013e788d-b342-4f4f-9e1f-a83b3b593eb3.GNOS.xml.gz
EGAD00001003559	EGAZ00001312566	EGAF00001723255	013e788d-b342-4f4f-9e1f-a83b3b593eb3/PCAWG.3eec6dce-dd39-11e4-aeeb-85c0c254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312568	EGAF00001723261	026020fa-d6fd-4271-81ea-0d3184edc3b0/PCAWG.ca746884-dd33-11e4-a1bd-c01bc254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312568	EGAF00001723262	026020fa-d6fd-4271-81ea-0d3184edc3b0/PCAWG.ca746884-dd33-11e4-a1bd-c01bc254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312568	EGAF00001723263	026020fa-d6fd-4271-81ea-0d3184edc3b0/analysis.026020fa-d6fd-4271-81ea-0d3184edc3b0.GNOS.xml.gz
EGAD00001003559	EGAZ00001312570	EGAF00001723268	029cacdb-44c6-44dc-9c0b-3b0f4201131c/PCAWG.cc51e6b6-dd30-11e4-a12d-8581c254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312570	EGAF00001723269	029cacdb-44c6-44dc-9c0b-3b0f4201131c/analysis.029cacdb-44c6-44dc-9c0b-3b0f4201131c.GNOS.xml.gz
EGAD00001003559	EGAZ00001312570	EGAF00001723267	029cacdb-44c6-44dc-9c0b-3b0f4201131c/PCAWG.cc51e6b6-dd30-11e4-a12d-8581c254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312572	EGAF00001723273	02aa3c31-a42c-4b9a-9fbf-b997f1518a18/PCAWG.242bb83a-dd3b-11e4-9b69-2be3c254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312572	EGAF00001723275	02aa3c31-a42c-4b9a-9fbf-b997f1518a18/analysis.02aa3c31-a42c-4b9a-9fbf-b997f1518a18.GNOS.xml.gz
EGAD00001003559	EGAZ00001312572	EGAF00001723274	02aa3c31-a42c-4b9a-9fbf-b997f1518a18/PCAWG.242bb83a-dd3b-11e4-9b69-2be3c254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312574	EGAF00001723280	074e6513-4760-4ea5-831e-912304c09740/PCAWG.1ee804b2-dd3d-11e4-aaa5-b426c254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312574	EGAF00001723279	074e6513-4760-4ea5-831e-912304c09740/PCAWG.1ee804b2-dd3d-11e4-aaa5-b426c254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312574	EGAF00001723281	074e6513-4760-4ea5-831e-912304c09740/analysis.074e6513-4760-4ea5-831e-912304c09740.GNOS.xml.gz
EGAD00001003559	EGAZ00001312576	EGAF00001723286	07e290dc-1ba0-4476-b926-d27671555651/PCAWG.c5b68258-dd44-11e4-b71d-a98ac254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312576	EGAF00001723285	07e290dc-1ba0-4476-b926-d27671555651/PCAWG.c5b68258-dd44-11e4-b71d-a98ac254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312576	EGAF00001723287	07e290dc-1ba0-4476-b926-d27671555651/analysis.07e290dc-1ba0-4476-b926-d27671555651.GNOS.xml.gz
EGAD00001003559	EGAZ00001312578	EGAF00001723292	096f703c-cafe-4e2b-a984-fec310f4ba2e/PCAWG.a08814fc-dd34-11e4-a193-4b7ec254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312578	EGAF00001723291	096f703c-cafe-4e2b-a984-fec310f4ba2e/PCAWG.a08814fc-dd34-11e4-a193-4b7ec254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312578	EGAF00001723293	096f703c-cafe-4e2b-a984-fec310f4ba2e/analysis.096f703c-cafe-4e2b-a984-fec310f4ba2e.GNOS.xml.gz
EGAD00001003559	EGAZ00001312580	EGAF00001723299	0a466a5a-abad-43e8-b405-15d7e748733e/analysis.0a466a5a-abad-43e8-b405-15d7e748733e.GNOS.xml.gz
EGAD00001003559	EGAZ00001312580	EGAF00001723297	0a466a5a-abad-43e8-b405-15d7e748733e/PCAWG.12f95f04-dd36-11e4-98e6-a292c254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312580	EGAF00001723298	0a466a5a-abad-43e8-b405-15d7e748733e/PCAWG.12f95f04-dd36-11e4-98e6-a292c254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312582	EGAF00001723303	0d65aac1-a28d-4e7e-8c31-6f85cfa2cc7d/PCAWG.abe86d64-dd44-11e4-a915-77f9c154ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312582	EGAF00001723305	0d65aac1-a28d-4e7e-8c31-6f85cfa2cc7d/analysis.0d65aac1-a28d-4e7e-8c31-6f85cfa2cc7d.GNOS.xml.gz
EGAD00001003559	EGAZ00001312582	EGAF00001723304	0d65aac1-a28d-4e7e-8c31-6f85cfa2cc7d/PCAWG.abe86d64-dd44-11e4-a915-77f9c154ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312584	EGAF00001723309	0ed67a4a-7f9c-4413-ad0a-fe6335d5f59e/PCAWG.bddb49d8-dd35-11e4-8a0b-c68dc254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312584	EGAF00001723311	0ed67a4a-7f9c-4413-ad0a-fe6335d5f59e/analysis.0ed67a4a-7f9c-4413-ad0a-fe6335d5f59e.GNOS.xml.gz
EGAD00001003559	EGAZ00001312584	EGAF00001723310	0ed67a4a-7f9c-4413-ad0a-fe6335d5f59e/PCAWG.bddb49d8-dd35-11e4-8a0b-c68dc254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312586	EGAF00001723316	1119ef13-e9f6-4196-9ee8-6a2a89e0fbb5/PCAWG.833cdc6c-dd38-11e4-8ffa-a3b5c254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312586	EGAF00001723317	1119ef13-e9f6-4196-9ee8-6a2a89e0fbb5/analysis.1119ef13-e9f6-4196-9ee8-6a2a89e0fbb5.GNOS.xml.gz
EGAD00001003559	EGAZ00001312586	EGAF00001723315	1119ef13-e9f6-4196-9ee8-6a2a89e0fbb5/PCAWG.833cdc6c-dd38-11e4-8ffa-a3b5c254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312588	EGAF00001723322	11b0889d-4f4a-4d39-8d1c-0199c8f8692a/PCAWG.b1c3906e-dd3b-11e4-ab75-128ac254ba06.TopHat2.v1.bam.bai
EGAD00001003559	EGAZ00001312588	EGAF00001723321	11b0889d-4f4a-4d39-8d1c-0199c8f8692a/PCAWG.b1c3906e-dd3b-11e4-ab75-128ac254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312588	EGAF00001723323	11b0889d-4f4a-4d39-8d1c-0199c8f8692a/analysis.11b0889d-4f4a-4d39-8d1c-0199c8f8692a.GNOS.xml.gz
EGAD00001003559	EGAZ00001312590	EGAF00001723327	14467a7c-d401-48b7-8ce9-03a572d5ca3a/PCAWG.764a33dc-dd34-11e4-8a0c-117cc254ba06.TopHat2.v1.bam
EGAD00001003559	EGAZ00001312590	EGAF00001723329	14467a7c-d401-48b7-8ce9-03a572d5ca3a/analysis.14467a7c-d401-48b7-8ce9-03a572d5ca3a.GNOS.xml.gz
EGAD00001003559	EGAZ00001312590	EGAF00001723328	14467a7c-d401-48b7-8ce9-03a572d5ca3a/PCAWG.764a33dc-dd34-11e4-8a0c-117cc254ba06.TopHat2.v1.bam.bai
