filename	analysis_alias	analysis_accession
9fd433b9-21fb-4736-b0e3-4465b106bd5d/analysis.9fd433b9-21fb-4736-b0e3-4465b106bd5d.GNOS.xml.gz.gpg	9fd433b9-21fb-4736-b0e3-4465b106bd5d	EGAZ00001225006
ce03be29-75bd-4ef9-8332-a154f15e40c7/analysis.ce03be29-75bd-4ef9-8332-a154f15e40c7.GNOS.xml.gz.gpg	ce03be29-75bd-4ef9-8332-a154f15e40c7	EGAZ00001225028
c359de0a-939e-4630-98f9-538a0e58abcd/analysis.c359de0a-939e-4630-98f9-538a0e58abcd.GNOS.xml.gz.gpg	c359de0a-939e-4630-98f9-538a0e58abcd	EGAZ00001225023
97bd8b6c-3883-4f0b-8292-228fec3427ae/analysis.97bd8b6c-3883-4f0b-8292-228fec3427ae.GNOS.xml.gz.gpg	97bd8b6c-3883-4f0b-8292-228fec3427ae	EGAZ00001225003
69ecef37-d5e0-42b2-b86b-e9fa4c4ee5f8/analysis.69ecef37-d5e0-42b2-b86b-e9fa4c4ee5f8.GNOS.xml.gz.gpg	69ecef37-d5e0-42b2-b86b-e9fa4c4ee5f8	EGAZ00001224988
aec7dd99-c219-48a9-afd6-c973835920f2/analysis.aec7dd99-c219-48a9-afd6-c973835920f2.GNOS.xml.gz.gpg	aec7dd99-c219-48a9-afd6-c973835920f2	EGAZ00001225013
a173ed49-84fe-4759-b290-ef3a265e8bd1/analysis.a173ed49-84fe-4759-b290-ef3a265e8bd1.GNOS.xml.gz.gpg	a173ed49-84fe-4759-b290-ef3a265e8bd1	EGAZ00001225007
ebf6c71b-9f2c-4a63-a1aa-e5731dbc1275/analysis.ebf6c71b-9f2c-4a63-a1aa-e5731dbc1275.GNOS.xml.gz.gpg	ebf6c71b-9f2c-4a63-a1aa-e5731dbc1275	EGAZ00001225040
61cdf1a1-c16c-4443-9532-757de224d528/analysis.61cdf1a1-c16c-4443-9532-757de224d528.GNOS.xml.gz.gpg	61cdf1a1-c16c-4443-9532-757de224d528	EGAZ00001224986
bb588575-11be-4f04-9b96-e510d10c4a3a/analysis.bb588575-11be-4f04-9b96-e510d10c4a3a.GNOS.xml.gz.gpg	bb588575-11be-4f04-9b96-e510d10c4a3a	EGAZ00001225016
791ec3ce-37f0-4e89-8430-b529e37340dd/analysis.791ec3ce-37f0-4e89-8430-b529e37340dd.GNOS.xml.gz.gpg	791ec3ce-37f0-4e89-8430-b529e37340dd	EGAZ00001224994
90f67065-288e-4990-925b-03c3cb0a3c7d/analysis.90f67065-288e-4990-925b-03c3cb0a3c7d.GNOS.xml.gz.gpg	90f67065-288e-4990-925b-03c3cb0a3c7d	EGAZ00001225001
dc1ee7e2-f9c4-440d-860a-1dca8f0499d5/analysis.dc1ee7e2-f9c4-440d-860a-1dca8f0499d5.GNOS.xml.gz.gpg	dc1ee7e2-f9c4-440d-860a-1dca8f0499d5	EGAZ00001225034
e9b5f858-074c-46e4-b5da-1f81863c994b/analysis.e9b5f858-074c-46e4-b5da-1f81863c994b.GNOS.xml.gz.gpg	e9b5f858-074c-46e4-b5da-1f81863c994b	EGAZ00001225038
c5ebc72d-24ef-4fb0-876d-bbe989c7d089/analysis.c5ebc72d-24ef-4fb0-876d-bbe989c7d089.GNOS.xml.gz.gpg	c5ebc72d-24ef-4fb0-876d-bbe989c7d089	EGAZ00001225025
4ec97354-ba66-40bc-842e-4ecc05b27632/analysis.4ec97354-ba66-40bc-842e-4ecc05b27632.GNOS.xml.gz.gpg	4ec97354-ba66-40bc-842e-4ecc05b27632	EGAZ00001224983
