filename	analysis_alias	analysis_accession
b8f8a57a-80b7-4130-9667-5aafc6410b3c/analysis.b8f8a57a-80b7-4130-9667-5aafc6410b3c.GNOS.xml.gz.gpg	b8f8a57a-80b7-4130-9667-5aafc6410b3c	EGAZ00001222890
99bcecf2-7560-45f1-b515-bf5d0e86d516/analysis.99bcecf2-7560-45f1-b515-bf5d0e86d516.GNOS.xml.gz.gpg	99bcecf2-7560-45f1-b515-bf5d0e86d516	EGAZ00001222880
d6fbe8d4-197d-429c-a92d-da615fe6d2c6/analysis.d6fbe8d4-197d-429c-a92d-da615fe6d2c6.GNOS.xml.gz.gpg	d6fbe8d4-197d-429c-a92d-da615fe6d2c6	EGAZ00001222905
a93add1e-bd74-4287-967d-758f2b15e196/analysis.a93add1e-bd74-4287-967d-758f2b15e196.GNOS.xml.gz.gpg	a93add1e-bd74-4287-967d-758f2b15e196	EGAZ00001222884
99cc8ce7-b26b-4e54-b26c-d389e8241908/analysis.99cc8ce7-b26b-4e54-b26c-d389e8241908.GNOS.xml.gz.gpg	99cc8ce7-b26b-4e54-b26c-d389e8241908	EGAZ00001222881
84a6e70d-f6b2-41ae-b0e2-c5ce388bf8d6/analysis.84a6e70d-f6b2-41ae-b0e2-c5ce388bf8d6.GNOS.xml.gz.gpg	84a6e70d-f6b2-41ae-b0e2-c5ce388bf8d6	EGAZ00001222869
eac16c5c-fa83-424d-ae0a-5a858bd63680/analysis.eac16c5c-fa83-424d-ae0a-5a858bd63680.GNOS.xml.gz.gpg	eac16c5c-fa83-424d-ae0a-5a858bd63680	EGAZ00001222919
6564657f-63de-4303-ae27-a5431a61422b/analysis.6564657f-63de-4303-ae27-a5431a61422b.GNOS.xml.gz.gpg	6564657f-63de-4303-ae27-a5431a61422b	EGAZ00001222857
cc95a18e-a318-433c-be09-f6d67fe3f23a/analysis.cc95a18e-a318-433c-be09-f6d67fe3f23a.GNOS.xml.gz.gpg	cc95a18e-a318-433c-be09-f6d67fe3f23a	EGAZ00001222900
8a4eebe5-6224-46ce-aaa7-062a5f579e7d/analysis.8a4eebe5-6224-46ce-aaa7-062a5f579e7d.GNOS.xml.gz.gpg	8a4eebe5-6224-46ce-aaa7-062a5f579e7d	EGAZ00001222870
83256784-edc9-4357-9f49-d49c2ab4c953/analysis.83256784-edc9-4357-9f49-d49c2ab4c953.GNOS.xml.gz.gpg	83256784-edc9-4357-9f49-d49c2ab4c953	EGAZ00001222868
912cb021-8c9d-4e74-8654-5c53548deef6/analysis.912cb021-8c9d-4e74-8654-5c53548deef6.GNOS.xml.gz.gpg	912cb021-8c9d-4e74-8654-5c53548deef6	EGAZ00001222875
ea4ab9a0-2945-47ff-a917-49fdd04fad30/analysis.ea4ab9a0-2945-47ff-a917-49fdd04fad30.GNOS.xml.gz.gpg	ea4ab9a0-2945-47ff-a917-49fdd04fad30	EGAZ00001222918
