sample_accession	sample_alias
EGAN00001375997	SA544345
EGAN00001375998	SA542473
EGAN00001375999	SA544388
EGAN00001376000	SA542536
EGAN00001376001	SA560542
EGAN00001376002	SA569075
EGAN00001376003	SA544355
EGAN00001376004	SA542478
EGAN00001376005	SA544356
EGAN00001376006	SA542479
EGAN00001376007	SA544389
EGAN00001376008	SA542564
EGAN00001376009	SA569071
EGAN00001376010	SA560543
EGAN00001376011	SA544440
EGAN00001376012	SA542619
EGAN00001376013	SA544367
EGAN00001376014	SA542486
EGAN00001376015	SA544625
EGAN00001376016	SA542931
EGAN00001376017	SA544626
EGAN00001376018	SA542932
EGAN00001376019	SA544579
EGAN00001376020	SA542864
EGAN00001376021	SA544629
EGAN00001376022	SA542966
EGAN00001376023	SA544624
EGAN00001376024	SA542965
EGAN00001376025	SA544577
EGAN00001376026	SA542843
EGAN00001376027	SA569073
EGAN00001376028	SA569074
EGAN00001376029	SA544580
EGAN00001376030	SA542865
EGAN00001376031	SA544707
EGAN00001376032	SA543051
EGAN00001376033	SA569076
EGAN00001376034	SA560552
EGAN00001376035	SA544794
EGAN00001376036	SA543199
EGAN00001376037	SA560557
EGAN00001376038	SA569080
EGAN00001376039	SA544812
EGAN00001376040	SA543211
EGAN00001376041	SA544832
EGAN00001376042	SA543233
EGAN00001376043	SA544819
EGAN00001376044	SA543234
EGAN00001376045	SA569078
EGAN00001376046	SA560559
EGAN00001376047	SA569079
EGAN00001376048	SA569072
EGAN00001376049	SA544848
EGAN00001376050	SA543305
EGAN00001376051	SA560562
EGAN00001376052	SA569077
EGAN00001376053	SA545026
EGAN00001376054	SA543593
EGAN00001376055	SA545064
EGAN00001376056	SA543675
EGAN00001376057	SA545065
EGAN00001376058	SA543680
EGAN00001376059	SA560569
EGAN00001376060	SA569081
EGAN00001376061	SA545084
EGAN00001376062	SA543730
EGAN00001376063	SA545027
EGAN00001376064	SA543594
EGAN00001376065	SA545137
EGAN00001376066	SA543781
EGAN00001376067	SA545277
EGAN00001376068	SA544009
EGAN00001376069	SA545291
EGAN00001376070	SA544045
EGAN00001376071	SA545292
EGAN00001376072	SA544046
EGAN00001376073	SA560584
EGAN00001376074	SA569082
EGAN00001376075	SA545361
EGAN00001376076	SA544191
EGAN00001376077	SA545316
EGAN00001376078	SA544109
EGAN00001376079	SA545378
EGAN00001376080	SA544185
